Estimator,p,η,Mean Acc,SD Acc,n_train
emcee_posterior_vote,5,0.01,0.6,0.028421188305757,250
emcee_posterior_mean,5,0.01,0.5970297029702969,0.0269517972055766,250
emcee_mean,5,0.01,0.5811881188118811,0.040834832925349,250
emcee_median,5,0.01,0.5792079207920792,0.0360401479667352,250
emcee_mode,5,0.01,0.5643564356435643,0.054590292087486,250
emcee_mean+log,5,0.01,0.5990099009900989,0.0251453962360402,250
emcee_median+log,5,0.01,0.5900990099009901,0.031058192359125,250
emcee_mode+log,5,0.01,0.5673267326732674,0.0337360891829719,250
emcee_median,5,0.01,0.5890000000000001,0.058728187440104,150
emcee_posterior_mean,5,0.01,0.588,0.0267581763205193,150
emcee_posterior_vote,5,0.01,0.588,0.0267581763205193,150
emcee_mean,5,0.01,0.567,0.0433704968844028,150
emcee_mode,5,0.01,0.5589999999999999,0.0516623654123579,150
emcee_mean+log,5,0.01,0.5990000000000001,0.0454862616621766,150
emcee_median+log,5,0.01,0.5820000000000001,0.0433128156554154,150
emcee_mode+log,5,0.01,0.567,0.0368917334913934,150
emcee_posterior_mean,5,0.01,0.575,0.0364005494464025,200
emcee_posterior_vote,5,0.01,0.5710000000000001,0.0287923600977759,200
emcee_median,5,0.01,0.546,0.0379999999999999,200
emcee_mean,5,0.01,0.5459999999999999,0.0593632883186233,200
emcee_mode,5,0.01,0.5369999999999999,0.0562227711874823,200
emcee_mean+log,5,0.01,0.5549999999999999,0.0224722050542442,200
emcee_median+log,5,0.01,0.55,0.0354964786985976,200
emcee_mode+log,5,0.01,0.546,0.0387814388593306,200
emcee_posterior_vote,5,0.01,0.5405940594059405,0.0322960523372279,50
emcee_posterior_mean,5,0.01,0.5396039603960396,0.0332089303589077,50
emcee_mode,5,0.01,0.5287128712871286,0.0270063003900709,50
emcee_mean,5,0.01,0.5277227722772276,0.0585834146237109,50
emcee_median,5,0.01,0.5198019801980198,0.0373754179963898,50
emcee_mode+log,5,0.01,0.5574257425742575,0.0182833517946726,50
emcee_mean+log,5,0.01,0.5504950495049507,0.043202820255983,50
emcee_median+log,5,0.01,0.5435643564356435,0.070352787815804,50
emcee_median,5,0.01,0.624,0.0369323706252387,400
emcee_posterior_vote,5,0.01,0.623,0.0376961536499415,400
emcee_posterior_mean,5,0.01,0.618,0.0312409987036266,400
emcee_mode,5,0.01,0.617,0.0319530906173409,400
emcee_mean,5,0.01,0.612,0.0299332590941915,400
emcee_mean+log,5,0.01,0.62,0.0184390889145857,400
emcee_mode+log,5,0.01,0.6180000000000001,0.041182520563948,400
emcee_median+log,5,0.01,0.616,0.0482078831727757,400
emcee_posterior_vote,5,0.01,0.601,0.0353411940941445,300
emcee_posterior_mean,5,0.01,0.6009999999999999,0.0391024295920343,300
emcee_mean,5,0.01,0.5890000000000001,0.0338969025133565,300
emcee_mode,5,0.01,0.582,0.0321869538788621,300
emcee_median,5,0.01,0.579,0.0338969025133565,300
emcee_mean+log,5,0.01,0.613,0.019,300
emcee_median+log,5,0.01,0.5969999999999999,0.0148660687473185,300
emcee_mode+log,5,0.01,0.592,0.0334065861769801,300
emcee_posterior_vote,5,0.01,0.589,0.0266270539113887,100
emcee_posterior_mean,5,0.01,0.588,0.0299332590941915,100
emcee_median,5,0.01,0.576,0.0392937654087769,100
emcee_mean,5,0.01,0.5599999999999999,0.0435889894354067,100
emcee_mode,5,0.01,0.554,0.0548087584241788,100
emcee_mean+log,5,0.01,0.6239999999999999,0.0128062484748657,100
emcee_median+log,5,0.01,0.5920000000000001,0.0357211421989835,100
emcee_mode+log,5,0.01,0.5740000000000001,0.046518813398452,100
