Estimator,p,η,Mean Acc,SD Acc
emcee_posterior_vote,5,0.01,0.705,0.04410215414239989
emcee_posterior_mean,5,0.01,0.701,0.04158124577258357
emcee_posterior_mean,2,0.01,0.7000000000000001,0.04242640687119284
emcee_posterior_mean,4,0.01,0.7,0.04123105625617659
emcee_posterior_vote,2,0.01,0.7,0.03847076812334267
emcee_posterior_vote,4,0.01,0.6990000000000001,0.04134005321718877
emcee_posterior_vote,6,0.01,0.6980000000000001,0.048538644398046386
emcee_mean,2,0.01,0.6980000000000001,0.03429285639896448
emcee_posterior_mean,6,0.01,0.697,0.052735187493740836
emcee_posterior_vote,3,0.01,0.694,0.04317406628984579
emcee_posterior_vote,7,0.01,0.692,0.04284857057125709
emcee_posterior_mean,3,0.01,0.692,0.04214261501141094
emcee_posterior_vote,8,0.01,0.6910000000000001,0.050487622245457345
emcee_posterior_mean,7,0.01,0.6910000000000001,0.04085339643163098
emcee_posterior_mean,8,0.01,0.691,0.052430906915673314
emcee_posterior_vote,9,0.01,0.69,0.04381780460041328
emcee_median,2,0.01,0.6880000000000001,0.04377213725647856
emcee_posterior_mean,9,0.01,0.688,0.04578209256903838
emcee_posterior_vote,10,0.01,0.6869999999999999,0.05060632371551998
emcee_mean,8,0.01,0.686,0.027999999999999973
emcee_posterior_mean,10,0.01,0.6859999999999999,0.05023942674832187
emcee_mode,2,0.01,0.684,0.039038442591886255
emcee_mode,1,0.01,0.682,0.05381449618829485
emcee_median,3,0.01,0.68,0.03898717737923584
emcee_median,4,0.01,0.68,0.04669047011971501
emcee_mean,3,0.01,0.6769999999999999,0.04001249804748511
emcee_median,6,0.01,0.6749999999999999,0.05044799302251775
emcee_mean,4,0.01,0.673,0.054963624334645154
emcee_mode,4,0.01,0.67,0.03633180424916989
emcee_posterior_mean,1,0.01,0.6699999999999999,0.05059644256269407
emcee_mean,6,0.01,0.669,0.04763402145525821
emcee_median,8,0.01,0.6680000000000001,0.05878775382679627
emcee_posterior_vote,1,0.01,0.668,0.05134199061197374
emcee_mode,3,0.01,0.667,0.05762811813689562
emcee_median,1,0.01,0.666,0.049030602688525056
emcee_mode,5,0.01,0.6639999999999999,0.054990908339470075
emcee_mean,10,0.01,0.6619999999999999,0.06128621378417824
emcee_mean,1,0.01,0.6609999999999999,0.043692104549906956
emcee_mean,7,0.01,0.6579999999999999,0.04166533331199931
emcee_mode,6,0.01,0.657,0.06293647591023827
emcee_median,5,0.01,0.6569999999999998,0.03899999999999999
emcee_mean,5,0.01,0.656,0.05257375771237965
emcee_median,10,0.01,0.651,0.05262128846769147
emcee_median,9,0.01,0.6509999999999999,0.05028916384272063
emcee_mode,8,0.01,0.641,0.07917701686727026
emcee_median,7,0.01,0.6409999999999999,0.04968903299521937
emcee_mean,9,0.01,0.637,0.04495553358597805
emcee_mode,10,0.01,0.629,0.07368174807915458
emcee_mode,7,0.01,0.6249999999999999,0.05608029957123981
emcee_mode,9,0.01,0.5970000000000001,0.1004041831797859
emcee_mean+log,2,0.01,0.7020000000000001,0.03762977544445354
emcee_mean+log,3,0.01,0.695,0.03008321791298263
emcee_median+log,3,0.01,0.688,0.0406939798987516
emcee_median+log,4,0.01,0.687,0.03742993454442579
emcee_mode+log,2,0.01,0.687,0.042201895692018376
emcee_mean+log,4,0.01,0.686,0.046946778377222
emcee_median+log,7,0.01,0.6839999999999999,0.04029888335921975
emcee_mode+log,1,0.01,0.6839999999999999,0.0576541412215983
emcee_median+log,2,0.01,0.682,0.044
emcee_mean+log,8,0.01,0.682,0.04331281565541542
emcee_mode+log,3,0.01,0.681,0.04699999999999999
emcee_mode+log,10,0.01,0.677,0.042201895692018376
emcee_mode+log,5,0.01,0.6769999999999999,0.038999999999999986
emcee_mode+log,4,0.01,0.6759999999999999,0.03611094017053556
emcee_mean+log,5,0.01,0.6759999999999999,0.03322649545167228
emcee_median+log,8,0.01,0.675,0.042011903075199995
emcee_mode+log,8,0.01,0.6719999999999999,0.04556314299957805
emcee_median+log,5,0.01,0.671,0.05028916384272064
emcee_mean+log,7,0.01,0.671,0.04504442251822082
emcee_mean+log,10,0.01,0.67,0.043817804600413277
emcee_mean+log,6,0.01,0.6699999999999999,0.050990195135927854
emcee_median+log,6,0.01,0.6699999999999999,0.05039841267341661
emcee_mode+log,9,0.01,0.6689999999999999,0.029816103031751133
emcee_mode+log,6,0.01,0.6679999999999999,0.04190465367951392
emcee_median+log,1,0.01,0.666,0.04862098312457287
emcee_mode+log,7,0.01,0.6649999999999998,0.035846896657869824
emcee_median+log,10,0.01,0.6639999999999999,0.05180733538795445
emcee_mean+log,9,0.01,0.6620000000000001,0.0649307323229917
emcee_mean+log,1,0.01,0.6599999999999999,0.044944410108488465
emcee_median+log,9,0.01,0.6420000000000001,0.0530659966456864
