Estimator,Mean Acc,SD Acc
emcee_mean+logistic,0.583,0.037960505792204606
emcee_posterior_vote,0.5760000000000001,0.03382306905057552
emcee_posterior_mean,0.5750000000000001,0.04904079934095691
emcee_mean,0.571,0.053188344587888806
emcee_mode+logistic,0.5680000000000001,0.04707440918375927
emcee_median+logistic,0.5650000000000001,0.044328320518603
emcee_median,0.557,0.033181320046074096
emcee_mode,0.553,0.06325345840347386
mdc,0.605,0.03905124837953328
fnc,0.6010000000000001,0.03645545226711637
flog,0.587,0.034365680554879166
pls+nc,0.581,0.03806573262134855
log,0.5760000000000001,0.034409301068170486
manual+log,0.5730000000000001,0.03689173349139342
rkvs+log,0.5720000000000001,0.0581033561853358
rmh+log,0.5700000000000001,0.036331804249169895
pca+log,0.5700000000000001,0.03605551275463988
pca+qda,0.567,0.030347981810987013
pls+log,0.5640000000000001,0.041761226035642196
fpca+log,0.5589999999999999,0.03726929030716844
fknn,0.557,0.02238302928559937
apls+log,0.5559999999999999,0.0656048778674269
flda,0.554,0.03199999999999999
apls+nc,0.549,0.055578772926361
lda,0.5069999999999999,0.041243181254602565
qda,0.476,0.04983974317750845
