Estimator,Mean Acc,SD Acc
emcee_mean+logistic,0.781,0.03645545226711637
emcee_mode,0.7769999999999999,0.03716180835212411
emcee_mode+logistic,0.776,0.0417612260356422
emcee_median,0.771,0.04846648326421055
emcee_median+logistic,0.766,0.041036569057366405
emcee_posterior_vote,0.765,0.043185645763378376
emcee_posterior_mean,0.764,0.04363484845854287
emcee_mean,0.743,0.051971145840745143
pls+log,0.7859999999999999,0.039547439866570375
apls+log,0.783,0.02531797780234431
pca+log,0.78,0.03224903099319419
log,0.778,0.03124099870362661
fpca+log,0.773,0.028301943396169815
apls+nc,0.7710000000000001,0.04763402145525821
flog,0.7709999999999999,0.032695565448543636
rkvs+log,0.7699999999999999,0.03714835124201341
rmh+log,0.768,0.04728636167014755
flda,0.7670000000000001,0.054963624334645175
fknn,0.765,0.026551836094703532
manual+log,0.753,0.033181320046074145
pca+qda,0.751,0.03700000000000001
pls+nc,0.744,0.03200000000000003
fnc,0.743,0.029000000000000026
mdc,0.724,0.0332264954516723
lda,0.514,0.05425863986500215
qda,0.49899999999999994,0.0383275357934736
