Estimator,Mean Acc,SD Acc
emcee_mean+logistic,0.575,0.042953463189829046
emcee_posterior_mean,0.5599999999999999,0.03605551275463988
emcee_mean,0.557,0.03689173349139342
emcee_posterior_vote,0.554,0.03929376540877699
emcee_median+logistic,0.5519999999999999,0.03655133376499412
emcee_mode+logistic,0.5439999999999999,0.03583294573433782
emcee_median,0.5389999999999999,0.044821869662029945
emcee_mode,0.513,0.06664082832618455
rmh+log,0.5569999999999999,0.03287856444554718
pls+log,0.556,0.028354893757515626
rkvs+log,0.55,0.022803508501982737
fpca+log,0.548,0.033105890714493685
log,0.546,0.03292415526630864
fnc,0.545,0.044777226354476216
mdc,0.544,0.054808758424178886
manual+log,0.542,0.02925747767665557
flog,0.542,0.03599999999999998
pca+log,0.5409999999999999,0.032695565448543615
pls+nc,0.535,0.047801673610868484
apls+log,0.535,0.04006245124802025
pca+qda,0.532,0.04467661580737736
apls+nc,0.5229999999999999,0.0395094925302768
qda,0.518,0.04770744176750626
flda,0.5160000000000001,0.05314132102234569
fknn,0.5050000000000001,0.04738143096192853
lda,0.48199999999999993,0.05600000000000001
