Estimator,Mean Acc,SD Acc
emcee_posterior_mean,0.756,0.04630334761116091
emcee_posterior_vote,0.7529999999999999,0.039761790704142104
emcee_mode,0.752,0.0428485705712571
emcee_median+logistic,0.749,0.04482186966202996
emcee_mean+logistic,0.746,0.038262252939418
emcee_mode+logistic,0.7459999999999999,0.04694677837722201
emcee_mean,0.7390000000000001,0.039610604640676714
emcee_median,0.716,0.04779121258139407
fnc,0.775,0.04177319714841085
fknn,0.768,0.03280243893371346
pls+log,0.768,0.03655133376499415
pls+nc,0.766,0.038781438859330636
mdc,0.7619999999999999,0.03682390527904396
flog,0.7609999999999999,0.04182104733265297
rmh+log,0.76,0.042895221179054456
pca+log,0.758,0.035721142198983515
manual+log,0.758,0.03994996871087636
rkvs+log,0.7569999999999999,0.04001249804748511
apls+log,0.7559999999999999,0.035832945734337866
fpca+log,0.755,0.03801315561749644
flda,0.7549999999999999,0.04842520005121301
pca+qda,0.75,0.04919349550499538
log,0.75,0.04171330722922843
apls+nc,0.745,0.04477722635447623
lda,0.601,0.029816103031751143
qda,0.488,0.04118252056394802
