Estimator,Mean Acc,SD Acc
emcee_mean,0.594,0.020591260281973996
emcee_posterior_mean,0.5930000000000001,0.02238302928559939
emcee_median+logistic,0.5890000000000001,0.02947880594596734
emcee_mode+logistic,0.5810000000000001,0.04134005321718878
emcee_posterior_vote,0.579,0.023430749027719935
emcee_mode,0.575,0.038275318418009276
emcee_mean+logistic,0.5690000000000001,0.020712315177207955
emcee_median,0.5589999999999999,0.05889821729050889
rkvs+log,0.5920000000000001,0.017776388834631153
pls+nc,0.5890000000000001,0.043
fnc,0.587,0.03716180835212409
mdc,0.5840000000000001,0.03852272056851643
rmh+log,0.584,0.02416609194718914
pca+log,0.5790000000000001,0.028089143810376256
fpca+log,0.579,0.03389690251335657
pca+qda,0.577,0.0366196668472011
flog,0.5760000000000001,0.03773592452822641
fknn,0.576,0.04176122603564219
manual+log,0.5750000000000001,0.04318564576337836
log,0.56,0.053103672189407
pls+log,0.5589999999999999,0.041097445176069024
apls+log,0.5479999999999999,0.06997142273814361
apls+nc,0.545,0.05389805191284745
flda,0.5429999999999999,0.057105166141076934
lda,0.524,0.042237424163885755
qda,0.47000000000000003,0.07099295739719538
