Estimator,Mean Acc,SD Acc
emcee_median+logistic,0.585,0.04080441152620633
emcee_posterior_mean,0.5780000000000001,0.03893584466786357
emcee_posterior_vote,0.5760000000000001,0.040546269865426574
emcee_mean,0.565,0.08163945124754332
emcee_mean+logistic,0.5589999999999999,0.030479501308256322
emcee_mode+logistic,0.557,0.0334813380855664
emcee_median,0.5559999999999999,0.04882622246293481
emcee_mode,0.55,0.0417133072292284
rmh+log,0.5810000000000001,0.02467792535850611
flog,0.5780000000000001,0.04308131845707602
pca+qda,0.5740000000000001,0.05919459434779497
manual+log,0.568,0.03544009029333869
pca+log,0.567,0.03287856444554718
rkvs+log,0.567,0.023685438564654
pls+log,0.5640000000000001,0.036110940170535566
fpca+log,0.564,0.03199999999999998
apls+log,0.5599999999999999,0.05513619500836089
pls+nc,0.558,0.0570613704707484
fknn,0.557,0.02609597670139976
log,0.554,0.03693237062523876
fnc,0.5459999999999999,0.055713553108736484
apls+nc,0.5450000000000002,0.04695742752749558
mdc,0.533,0.04220189569201839
flda,0.526,0.04903060268852505
lda,0.525,0.05239274758971894
qda,0.48500000000000004,0.038535697735995404
