Estimator,Mean Acc,SD Acc
emcee_mode+logistic,0.761,0.03590264614203249
emcee_mode,0.76,0.0479583152331272
emcee_posterior_vote,0.753,0.043139309220246
emcee_posterior_mean,0.7529999999999999,0.03976179070414212
emcee_mean,0.751,0.039357337308308864
emcee_mean+logistic,0.7499999999999999,0.0337638860322683
emcee_median,0.746,0.0549909083394701
emcee_median+logistic,0.732,0.06584831053261733
rmh+log,0.7809999999999999,0.035902646142032466
flog,0.7769999999999999,0.040261644278394786
rkvs+log,0.772,0.03893584466786357
pls+nc,0.767,0.03494281041931231
pls+log,0.766,0.03292415526630864
fpca+log,0.765,0.03905124837953327
flda,0.7609999999999999,0.050487622245457345
log,0.7609999999999999,0.03112876483254676
apls+log,0.7609999999999999,0.02773084924772412
pca+log,0.756,0.033226495451672305
fnc,0.755,0.03471310991541957
manual+log,0.7540000000000001,0.03168595903550975
apls+nc,0.7510000000000001,0.034481879299133364
pca+qda,0.7409999999999999,0.030149626863362696
fknn,0.7380000000000001,0.022271057451320107
mdc,0.732,0.023151673805580447
lda,0.702,0.058617403559011384
qda,0.483,0.026851443164195105
