Estimator,Mean Acc,SD Acc
emcee_mode+logistic,0.935483870967742,0.04327873504838303
emcee_mode,0.932258064516129,0.033678408093259844
emcee_median+logistic,0.932258064516129,0.048815309517488886
emcee_posterior_mean,0.9258064516129032,0.03241895361651901
emcee_posterior_vote,0.9193548387096774,0.04618651955895598
emcee_mean+logistic,0.9064516129032258,0.11759823311973022
emcee_median,0.8935483870967742,0.11179176420105454
emcee_mean,0.8580645161290323,0.14655247344000707
log,0.964516129032258,0.03043219720018261
fpca+log,0.964516129032258,0.03043219720018261
manual+log,0.9612903225806452,0.031606319261718446
pca+qda,0.9580645161290322,0.032418953616519024
pca+log,0.9580645161290322,0.02903225806451615
rmh+log,0.9548387096774194,0.029565004483586087
pls+log,0.9516129032258064,0.0360656125403192
apls+nc,0.9516129032258064,0.04143623412472623
apls+log,0.9516129032258064,0.026007283059027605
flda,0.9451612903225806,0.03241895361651901
fknn,0.9419354838709678,0.04029030966708645
flog,0.935483870967742,0.04997397866074087
rkvs+log,0.9225806451612903,0.05241315099765134
lda,0.8935483870967742,0.05211449813355969
pls+nc,0.8290322580645162,0.09354838709677421
fnc,0.735483870967742,0.11155881590832635
mdc,0.7000000000000001,0.08661755859417775
qda,0.5806451612903227,1.1102230246251565e-16
