Estimator,Mean Acc,SD Acc
emcee_posterior_mean,0.5955056179775281,0.04366148141061899
emcee_mode+logistic,0.5853932584269663,0.03235096640199546
emcee_mode,0.5820224719101124,0.03437541245118732
emcee_median+logistic,0.5803370786516855,0.030570264854860217
emcee_posterior_vote,0.5752808988764044,0.05247323338802525
emcee_median,0.5730337078651685,0.03158082993832629
emcee_mean,0.5331460674157305,0.04116486539712892
emcee_mean+logistic,0.5280898876404494,0.02853578673977594
rmh+log,0.6056179775280899,0.02459108834633628
flog,0.6011235955056179,0.02940730860292674
rkvs+log,0.5955056179775281,0.03246782758831437
manual+log,0.5837078651685393,0.017667623812939775
pls+log,0.5775280898876404,0.018256266077833618
pca+log,0.5764044943820223,0.029535818939539122
log,0.5747191011235955,0.027642504719421427
lda,0.5719101123595506,0.019265649662339606
apls+log,0.5719101123595506,0.015850265145692002
pls+nc,0.5696629213483145,0.04029308107200248
qda,0.5691011235955056,0.022758010225313575
pca+qda,0.5674157303370787,0.03588476274757599
flda,0.5606741573033708,0.019910163086145335
apls+nc,0.553932584269663,0.020130868390077442
fpca+log,0.5511235955056181,0.031824739411839435
fnc,0.546067415730337,0.03750184105231154
fknn,0.5342696629213484,0.03071446501761044
mdc,0.5235955056179775,0.02620652537009124
