Estimator,Mean Acc,SD Acc
emcee_mode,0.543,0.032878564445547195
emcee_mean,0.513,0.034655446902326914
emcee_mode+logistic,0.512,0.036000000000000025
emcee_median+logistic,0.5039999999999999,0.0405462698654266
emcee_mean+logistic,0.503,0.053860932037980924
emcee_posterior_mean,0.49700000000000005,0.056400354608814283
emcee_median,0.492,0.03867815921162745
emcee_posterior_vote,0.469,0.05752390807307864
pca+qda,0.748,0.0554616984954482
fknn,0.5740000000000001,0.03136877428271622
apls+log,0.529,0.03360059523282288
mdc,0.5209999999999999,0.05204805471869242
rmh+log,0.516,0.04882622246293481
flog,0.515,0.044777226354476236
log,0.509,0.05467174773134657
qda,0.502,0.05564171097297422
rkvs+log,0.499,0.04085339643163099
manual+log,0.496,0.029393876913398145
apls+nc,0.496,0.03852272056851647
lda,0.493,0.03976179070414208
pls+log,0.48900000000000005,0.04300000000000001
flda,0.48900000000000005,0.04721228653645152
pca+log,0.483,0.030016662039607275
fpca+log,0.481,0.03207802986469088
fnc,0.46299999999999997,0.06885491994040803
pls+nc,0.454,0.03746998799039039
