Estimator,Mean Acc,SD Acc
emcee_posterior_mean,0.69,0.05019960159204453
emcee_posterior_vote,0.684,0.04820788317277579
emcee_mode+logistic,0.6809999999999999,0.036455452267116356
emcee_mode,0.6799999999999999,0.03820994634908559
emcee_median+logistic,0.6799999999999999,0.03768288736283353
emcee_mean+logistic,0.678,0.06305553108173781
emcee_mean,0.667,0.05254521862167859
emcee_median,0.647,0.06986415389883428
pls+log,0.7110000000000001,0.054854352607609916
fpca+log,0.704,0.04054626986542659
pca+qda,0.7030000000000001,0.0366196668472011
pca+log,0.699,0.0398622628559895
flda,0.696,0.05936328831862333
manual+log,0.694,0.044090815370097194
rmh+log,0.6910000000000001,0.03047950130825632
log,0.686,0.046303347611160894
rkvs+log,0.6839999999999999,0.03693237062523876
apls+log,0.6839999999999999,0.058343808583259285
apls+nc,0.6739999999999999,0.050039984012787204
flog,0.6729999999999998,0.03976179070414207
fnc,0.6639999999999999,0.05276362383309168
fknn,0.652,0.033704599092705435
pls+nc,0.6489999999999999,0.07569015788066502
mdc,0.601,0.05769748694700663
lda,0.548,0.04556314299957805
qda,0.517,0.03925557285278105
