Estimator,Mean Acc,SD Acc
emcee_posterior_vote,0.8014925373134327,0.03134328358208955
emcee_posterior_mean,0.7970149253731345,0.03481165310355403
emcee_median+logistic,0.7955223880597015,0.03597603221848942
emcee_mode+logistic,0.7910447761194029,0.03775853922589109
emcee_mean+logistic,0.7791044776119402,0.03256331974518123
emcee_median,0.7761194029850746,0.04427581186325769
emcee_mode,0.7701492537313432,0.05552559772459186
emcee_mean,0.7626865671641792,0.0413893272354091
log,0.8223880597014925,0.026236411688428288
apls+log,0.8164179104477614,0.028358208955223882
apls+nc,0.8074626865671641,0.0323229967577727
pls+log,0.8044776119402984,0.030913903249564154
fpca+log,0.7970149253731343,0.02131769680162045
rkvs+log,0.7955223880597014,0.031343283582089536
pca+log,0.7940298507462686,0.030441907543837524
pca+qda,0.7835820895522388,0.03354060455857347
flda,0.7805970149253731,0.037193838192170495
manual+log,0.7776119402985076,0.039177327607184155
rmh+log,0.7776119402985076,0.047877656514464
flog,0.7656716417910449,0.04117347529592156
fknn,0.7597014925373134,0.04597887104701301
pls+nc,0.753731343283582,0.040738340489421446
fnc,0.7029850746268657,0.03560256848321363
mdc,0.6626865671641791,0.030733224301453737
lda,0.617910447761194,0.040160071782309584
qda,0.4567164179104477,0.04284388087882783
