Estimator,Mean RMSE,SD RMSE,Mean rRMSE,SD rRMSE
emcee_mean+ridge,0.7249481356781157,0.03971594143605374,0.5603030085686296,0.0756742764356554
emcee_mode+ridge,0.7329342971511982,0.04011359159674879,0.5658873129001221,0.07186597422704186
emcee_median,0.7367557508081675,0.035894084734932025,0.5690763856710228,0.07240053182497579
emcee_median+ridge,0.737768867657975,0.03254581158045199,0.5695881676576594,0.0697930093214507
emcee_posterior_mean,0.7634411337973595,0.08304508352826179,0.5912377240639819,0.10308722789885216
emcee_mode,0.785936384802489,0.10629121924394548,0.6062415215400168,0.10213461983043476
emcee_mean,0.9484143915573997,0.35441354478968273,0.7171539611439031,0.22419268251769048
pls1,0.7095343371784247,0.028964946373760982,0.5481511044271946,0.06852211771718043
pls+ridge,0.712880933439787,0.030095939798811422,0.5503410165438222,0.06597227198164675
apls,0.715725008220466,0.034018471583471994,0.5529268630201307,0.07109302646225538
fpca+ridge,0.715867078297566,0.03606282277244494,0.5517882538835033,0.06022922171227388
pca+ridge,0.7188980380306778,0.035536703493332225,0.5545763632693851,0.06484940680673919
ridge,0.7209805015167509,0.035273639233152,0.5561549492682025,0.06440167590063817
manual+ridge,0.7240888337528564,0.04620748380979878,0.5577566163558139,0.061465215088688185
flin,0.7258136683044435,0.033442796024307116,0.5601401048895529,0.06674209074372331
lasso,0.7259280846912419,0.04234131383312387,0.5598825853417153,0.06635004433308508
fpls1,0.7309204589058823,0.04005418635116122,0.5641960921455024,0.07026831258933841
rmh+ridge,0.8049856469638639,0.05057273932233855,0.6211118353445647,0.07927888042825466
