Estimator,Mean RMSE,SD RMSE,Mean rRMSE,SD rRMSE
emcee_median,0.7471148920713617,0.03095455529158132,0.05149421533528394,0.006096325074720863
emcee_mode+ridge,0.7598333159834838,0.07273939649368598,0.05267531236757306,0.01008973155017387
emcee_median+ridge,0.7804233871536976,0.09343022318844336,0.053936864824032094,0.009756761778209106
emcee_posterior_mean,0.786436071887981,0.08401428983505224,0.05404677242554804,0.0073152157530360995
emcee_mode,0.927623748562883,0.2747568862199474,0.06285795235357212,0.015465561212861146
emcee_mean,1.2778760898246866,0.6221314734699461,0.09199271577190803,0.05460917211810278
emcee_mean+ridge,1.431920384248598,1.058933653269874,0.09916070197279188,0.07623792218712742
lasso,0.7591567302775761,0.07304130272533622,0.05204796503905231,0.0052846895103525245
ridge,1.1746844109021561,0.20547211840505267,0.08008511634877895,0.011183011099380755
pls+ridge,1.299371095847944,0.12491055711183063,0.08901908400132055,0.00868579123309008
pls1,1.3094692657371183,0.1222025217854408,0.08962966010061742,0.007748907811284447
apls,1.4562376115704319,0.17017957663589828,0.09951990196487291,0.009776382132067264
rmh+ridge,1.6404684845424868,0.1889483061858172,0.11234736255124511,0.012200543901899907
fpca+ridge,1.872938431568428,0.3020378446298357,0.12714149224136656,0.010886963148576137
pca+ridge,1.8789512742981664,0.3039308165238786,0.12761364134468783,0.011884655130875445
manual+ridge,2.2531454801096844,0.22578744265280898,0.15405527672380778,0.012896562039879163
fpls1,2.3363170645374653,0.36482575525871985,0.15866887843552469,0.012915919305273714
flin,2.427161181093659,0.35214554309776036,0.16545454355252365,0.017747029042469387
