Estimator,Mean RMSE,SD RMSE,Mean rRMSE,SD rRMSE
emcee_mean+ridge,0.7166000843196549,0.02878107652037587,0.7224490624510965,0.03478496424938928
emcee_median+ridge,0.7223989759477941,0.03777164124932523,0.728767724064143,0.05054106134319778
emcee_posterior_mean,0.723184510802314,0.04017161017620972,0.7287189086180422,0.03834317217231952
emcee_mode+ridge,0.7262098757389615,0.035619063164680144,0.7329310879068294,0.05344870215521603
emcee_median,0.7299666420001454,0.049023468815355194,0.7367643229014631,0.06461091068769333
emcee_mode,0.7317573599459908,0.032046642920753016,0.7384771642472687,0.05065894529825896
emcee_mean,0.7688180761662683,0.03699462607919852,0.7764788584382278,0.062219243726914224
lasso,0.7116272831713636,0.027289620822653158,0.7177234336969518,0.039515003648533706
apls,0.7153493041251158,0.030207633162290314,0.7216990778066165,0.04526812696788863
ridge,0.7161470579120484,0.02906346843212507,0.7223402828646579,0.04208113546952024
manual+ridge,0.7166641593083913,0.029667842734623376,0.7229763482742702,0.04443642172729623
pca+ridge,0.7169063914613087,0.03227616416996915,0.7230393528923635,0.04335942436468061
fpca+ridge,0.7170460136045517,0.0317639069304749,0.7232270446550947,0.043849871056705264
pls1,0.7171109592487246,0.041328957419102134,0.7231379225208254,0.04870518651769778
fpls1,0.7184812925766394,0.0392059284643362,0.7245454688607509,0.04713279468827051
pls+ridge,0.7185384040369717,0.03336919743986016,0.7246452317224829,0.043179619916763994
flin,0.7328438479771537,0.03524555040589899,0.7393926769068603,0.04977576686962562
rmh+ridge,0.7533995003546029,0.02852526549923219,0.7594170834517955,0.03245622800349319
