Estimator,Mean RMSE,SD RMSE,Mean rRMSE,SD rRMSE
emcee_median,0.7293290646793948,0.04837269851786217,0.07887246573861299,0.0042364469418283545
emcee_mode,0.7346207728520301,0.0394924254764495,0.07952156550968151,0.00461451102179159
emcee_posterior_mean,0.7428533440767284,0.04729062545034021,0.08041051407826563,0.005363784059680146
emcee_mode+ridge,0.746439267171991,0.05823252676515559,0.08076913354304029,0.006236478740814482
emcee_median+ridge,0.7585110864560111,0.06254076907886738,0.08200995009498349,0.005697805735354715
emcee_mean+ridge,0.8159823077836694,0.15444733691721965,0.08851145145053813,0.01849602330679258
emcee_mean,0.913066318966042,0.3102842028058107,0.09918912246100134,0.035350489602926825
lasso,0.7274007149947377,0.03394309378741734,0.07872665404673439,0.003778515875180138
ridge,0.920316137613215,0.0434716158099544,0.09962722565617826,0.005232952875758742
pls+ridge,0.9548521791079498,0.053287013048183125,0.10332832807592363,0.005623819582983452
apls,1.0033198079647059,0.04482850140682163,0.10860312123676266,0.0052421253596861
pls1,1.0320284511761422,0.11602742896307223,0.11157191313753864,0.011476109338490517
fpca+ridge,1.1493157952615345,0.04112298751695736,0.1244364260519741,0.005788620171200911
pca+ridge,1.152551973275131,0.04100003268302687,0.1247909898089707,0.00587855376699296
flin,1.2191189987374156,0.05649574919488462,0.1320289641280185,0.007948260855710668
manual+ridge,1.220865718996324,0.050332824784449434,0.13213766183354866,0.005759814076340145
fpls1,1.23487196414611,0.06860877966994136,0.13370928832246637,0.00865920342992636
rmh+ridge,1.4231345873139076,0.11658340458213695,0.15391257756703672,0.011149822533918856
