Estimator,Mean RMSE,SD RMSE,Mean rRMSE,SD rRMSE
emcee_mean+ridge,0.7179682490875807,0.029521764756146877,0.74659411617252,0.04069746690714178
emcee_posterior_mean,0.7202961031045506,0.03182388543064622,0.7492644477193859,0.0469102495507602
emcee_median+ridge,0.7228862426631506,0.03807055069265814,0.7517761925700881,0.049736938087297886
emcee_mode+ridge,0.7345687667919858,0.04844294686709497,0.7643983632947774,0.06526135520063152
emcee_mode,0.739442025927838,0.0750210132021523,0.7684618618534317,0.07767804329050443
emcee_mean,0.7438167796465989,0.060661192746428734,0.7726915636976672,0.057801289093487876
emcee_median,0.7505604207059504,0.07132093864767802,0.7822418837926903,0.09791759797250939
apls,0.7099933742495511,0.02975478095716631,0.7382656888299038,0.04004403356214151
lasso,0.7121598272185039,0.028393809671876716,0.7404667926753092,0.038046667356899676
rmh+ridge,0.7132889464638625,0.030247854775275737,0.7414609270319449,0.03634378159830177
ridge,0.7172100388816294,0.03240409028288573,0.7460333218976263,0.047419000400137454
fpca+ridge,0.7176217555945071,0.030261846901297827,0.7463655853310904,0.04396655964910293
manual+ridge,0.7193529983393453,0.029514210549381394,0.7481132906331679,0.04242922987446391
pca+ridge,0.7199566499047181,0.031082774729139815,0.7488792478168668,0.04628073781268121
pls1,0.7200962345799763,0.035785420422928975,0.7488927331162539,0.04728688482568283
fpls1,0.7255172190922159,0.03496158155536673,0.7547842947128928,0.05133325791051611
flin,0.7266968249535568,0.032617569426720026,0.7562366970737303,0.05289533200299024
pls+ridge,0.7278012565429789,0.04551132139967519,0.7575341544842153,0.06516641597059514
