Estimator,Mean RMSE,SD RMSE,Mean rRMSE,SD rRMSE
emcee_posterior_mean,0.7260731357119352,0.03582493336951649,0.08592523383460454,0.0032867061307485196
emcee_median,0.7293073512581768,0.04451987959684096,0.08636683061538736,0.005471368580290384
emcee_mode+ridge,0.7347103214775828,0.03627966731104353,0.08702991267979324,0.0050442541930465845
emcee_median+ridge,0.7411916907137353,0.04071709464501233,0.08780092783822502,0.0055721867802822605
emcee_mode,0.7482350931620314,0.06820745064825114,0.08849817913843941,0.006660694065892598
emcee_mean+ridge,0.7485349819589844,0.04424198990543086,0.08854666186494463,0.0036471124484554513
emcee_mean,0.7588096049609823,0.06812091439389438,0.08983243414961417,0.007883274268917871
lasso,0.7375777349473506,0.027211261247378993,0.08737411772502252,0.004241542437402352
ridge,0.7775987598532044,0.021135849023860013,0.09210166483780674,0.003537710380397529
pls1,0.7815515039742261,0.033785866301194255,0.09261589471575189,0.005526389055835751
pls+ridge,0.7828972355400503,0.030611534478021896,0.09274280225728074,0.004691003112064529
manual+ridge,0.7838695509801936,0.0211200386652342,0.09283081853216468,0.003182038088845557
pca+ridge,0.7842804658936584,0.021719814247150464,0.0928804181201466,0.003236993880130737
fpca+ridge,0.7843603893933182,0.019894197354593815,0.09289943903801783,0.0033479040702829167
apls,0.7920216317287567,0.029826984634619476,0.0938393582825646,0.0049228578817934856
fpls1,0.8001352247414861,0.023529612404605216,0.09478699311036062,0.004197783777472864
flin,0.800297927272332,0.021915275299097786,0.09480388214040589,0.003994981988172866
rmh+ridge,0.8468566508575007,0.043075268555090286,0.10042144474319925,0.007555181221657523
