Estimator,Mean RMSE,SD RMSE,Mean rRMSE,SD rRMSE
emcee_median+ridge,0.7168333222018635,0.03480224854808907,0.6455568970212481,0.04182675892424247
emcee_median,0.7178563845829686,0.031412322069549505,0.6466237052289625,0.04203707437323175
emcee_mean+ridge,0.7192972396532422,0.026600198348204856,0.647728525144217,0.03577826826226871
emcee_mode,0.7297229168399415,0.03782299159066191,0.6568008711095642,0.03798220560524686
emcee_mode+ridge,0.735589616931057,0.029945694209152024,0.6627330918121693,0.04311197942663843
emcee_posterior_mean,0.7554550080115731,0.07935724526070426,0.6822433416429122,0.09548638917691776
emcee_mean,0.7555514128255157,0.053877247302255384,0.6795277014110421,0.043832535697042714
apls,0.710077241768803,0.029462426351828223,0.6394931528713994,0.03847088214810216
ridge,0.7156639364579027,0.032453118547658796,0.6444652668285211,0.03972487548545828
manual+ridge,0.716145707041125,0.03191629411682873,0.6450779184122721,0.04223233906014418
pca+ridge,0.7162424483638525,0.03216312425585172,0.6449889024893087,0.039617179881063426
lasso,0.717385362183024,0.028985472627606156,0.6463187081318804,0.04249235193661434
fpca+ridge,0.7176547168190976,0.032649561919734366,0.6463057164564365,0.0407602556555053
pls+ridge,0.7201630780546924,0.03255133494695073,0.6487277229639626,0.04354449403520125
pls1,0.7216902461204711,0.02921560895633261,0.6499875760745953,0.03917661437685276
fpls1,0.7314610864015997,0.03387468729181675,0.6591418889789329,0.04799183201188266
flin,0.7331578729004345,0.03494831235887478,0.6606031554105682,0.04763496569586322
rmh+ridge,0.7914710447797884,0.03658471548457991,0.7121607184654424,0.0329266479762058
