Estimator,Mean RMSE,SD RMSE,Mean rRMSE,SD rRMSE
emcee_mode+ridge,0.7261818250674775,0.03845271113323907,0.07955545049243709,0.006433669421389144
emcee_mean+ridge,0.7337945253513666,0.0385960436042949,0.08037307501105748,0.006204567846744479
emcee_median,0.7400574199463481,0.052103061501677275,0.08114252262702872,0.008271727718326157
emcee_median+ridge,0.7511115570721592,0.06477961711948806,0.08218283124655036,0.007307000377400588
emcee_mode,0.7694360613463698,0.1023517435716265,0.0847992929561192,0.015986139161047727
emcee_mean,0.8061329879456055,0.09765209343552902,0.08879650394737353,0.01594925980856069
emcee_posterior_mean,0.86291652760356,0.4158698441177983,0.09390258956059186,0.0429688425840969
lasso,0.7308766552093453,0.038522859279526395,0.07999953282401809,0.005397282810742723
pls+ridge,0.9617431014749066,0.05920413865312971,0.1054828925971997,0.010517682638777797
ridge,0.9653989410640562,0.05853738090461215,0.10587821450848597,0.010467013132918437
pls1,0.9736144335796559,0.06255370992995153,0.10687478649029505,0.011786157075408797
apls,1.1667328413534501,0.06812808589636925,0.1282289570321705,0.015257423383962097
rmh+ridge,1.3747601649666987,0.2657853023432774,0.1500608659766436,0.027062917357886424
fpca+ridge,1.4203109193171732,0.06328339291583432,0.15550319311992108,0.010172161956533738
pca+ridge,1.422248510277163,0.049571380606239925,0.1558064085610093,0.010756722416508342
manual+ridge,1.5481801686688907,0.07150703134087473,0.16927156266204477,0.006965720785845775
flin,1.6300796212805608,0.0512715140766188,0.17867607411630876,0.013397428115436268
fpls1,1.6310364274834277,0.05308813516082794,0.17877666406127155,0.013429542964400739
