Estimator,Mean RMSE,SD RMSE,Mean rRMSE,SD rRMSE
emcee_median,0.7217302446520312,0.02979766944844951,0.7567152016639985,0.043243462400229395
emcee_posterior_mean,0.7259276424126895,0.02590137162661446,0.7612626226056656,0.04296296095469879
emcee_median+ridge,0.7298907545707508,0.024947392091011423,0.7652624747132133,0.039461332110090126
emcee_mode,0.7301668476482005,0.028570740013423326,0.7655479294246396,0.042189106614840446
emcee_mean+ridge,0.7428291891274201,0.051833491425914376,0.7777498427278904,0.045873142701901286
emcee_mode+ridge,0.7430735576736665,0.04998055927687061,0.7783302799249818,0.0493983930134577
emcee_mean,0.7944508491650699,0.12863566307886823,0.8326064697929676,0.13208580902257355
lasso,0.7222064754177872,0.029284604970095277,0.7571916310113722,0.042435985872056645
fpls1,0.7256240043052634,0.03264748176398342,0.7615200287606135,0.05701571844468979
apls,0.7264752541567254,0.03056975343603579,0.7623392964293527,0.05459545734145723
pca+ridge,0.7267626159807886,0.031263505522508166,0.7625338280686973,0.053540635271511816
fpca+ridge,0.7269839343547707,0.03131395996539065,0.7627896957396736,0.05392583471530739
ridge,0.7271534995756078,0.03293965906956413,0.7628705351888402,0.05357167638712426
manual+ridge,0.7284433087474145,0.03125038526787946,0.764125835365579,0.05091839881955527
pls1,0.7294857707171392,0.030992368365850443,0.7653944208265925,0.05331722473889903
pls+ridge,0.7297416362301898,0.030942149123809028,0.7654823967955602,0.050646429348446674
flin,0.7349917784600319,0.032008115128442094,0.7712964661784139,0.05601031063693958
rmh+ridge,0.8118268493366682,0.026902146884668753,0.8509825601905469,0.03888971030520647
