Estimator,Mean RMSE,SD RMSE,Mean rRMSE,SD rRMSE
emcee_mode+ridge,0.7348379248969537,0.036105388330149986,0.06386123533985623,0.002839038990680178
emcee_median,0.743313866114123,0.04068660712635616,0.06463208224524188,0.003860114488369455
emcee_median+ridge,0.7554617074037678,0.05775854869896497,0.06570374419398042,0.005483527694014399
emcee_posterior_mean,0.7663799101450419,0.06051660228892267,0.06656907890019752,0.0047095418007410675
emcee_mean+ridge,0.7986735387543418,0.17467838427131802,0.06917038649868575,0.013588157601882981
emcee_mode,0.8025033366290346,0.14711320009529863,0.06974383080104987,0.012308896907998626
emcee_mean,1.4084899592460114,1.3586606861879489,0.12191522374609076,0.11689463125732517
lasso,0.7264862384808756,0.03244091319434296,0.0631383225594522,0.002596028307272141
manual+ridge,0.727214488606999,0.03226702488130118,0.06319630713879063,0.002431798765887482
apls,0.7277479140721351,0.0346923886895047,0.0632451662499536,0.0027329859528386585
ridge,0.7283438028374591,0.03527475432155797,0.06329059927410788,0.0026433503174611867
fpca+ridge,0.7284298612459232,0.03284626821834771,0.06331218759091353,0.0027190019897640667
pls1,0.729269799098949,0.04077607201499591,0.0633682749672925,0.0031352951196804684
pls+ridge,0.7294669811196186,0.03496947756258992,0.06339013479178976,0.002650507577884879
pca+ridge,0.7300756467188629,0.03256740776728029,0.06345564231975453,0.002700186865975068
fpls1,0.7381693012022398,0.034884815797068945,0.06415758829053439,0.002874765318965923
flin,0.7383826339824334,0.029743841269150643,0.06419163325976543,0.002775884989071834
rmh+ridge,1.2261186792539687,0.11733226748852722,0.10650624812232154,0.00931941572728093
