Estimator,Mean RMSE,SD RMSE,Mean rRMSE,SD rRMSE
emcee_posterior_mean,0.25459427706320986,0.03915065163884316,0.19062842913852504,0.036381769739713764
emcee_median+ridge,0.25998989462641664,0.03439187314624577,0.19415985824569632,0.029653901280588403
emcee_mean+ridge,0.26235178896900857,0.04274295472695953,0.19608734905902064,0.03688307617344579
emcee_median,0.29635183633086987,0.051003068784572794,0.22008709636920737,0.03406577810360755
emcee_mode,0.3013244734328704,0.04942269585007885,0.2243997146128347,0.03649094159259583
emcee_mode+ridge,0.3019281265372326,0.09182054484021811,0.22432375464773777,0.06544262398393717
emcee_mean,1.268205658603438,1.095848912681555,0.9527078964897611,0.8320223098600964
ridge,0.22079302786196445,0.02554161313051308,0.16453617339747778,0.020155215980539785
pls+ridge,0.22563861250248457,0.024784715864672412,0.1682459461676658,0.02052455569951494
pca+ridge,0.22641990031962944,0.02694527656574092,0.168803265727188,0.021817096314047667
pls1,0.2276942888944295,0.02346090207380848,0.16978547800472243,0.019730106273240837
manual+ridge,0.22779420447546134,0.02640521331377704,0.16969254678427256,0.020313905751930674
apls,0.2340481199073598,0.03069432113263126,0.17457147210242493,0.025174996314274348
fpls1,0.23606151783964296,0.03841791560667696,0.17567751638268359,0.027365303383113566
lasso,0.24213242215781094,0.027736574256486395,0.18073041769129938,0.02448384524182153
flin,0.2573846309958475,0.026277536173628033,0.1916391278750667,0.01865904937525258
fpca+ridge,0.2885597168446654,0.03533681830697929,0.21536792677357028,0.030607294381627664
rmh+ridge,0.3274721609742498,0.0858040812724784,0.2438006929837368,0.06190053236817712
