Estimator,Mean RMSE,SD RMSE,Mean rRMSE,SD rRMSE
emcee_median+ridge,1.9953146306935097,0.21938754737329846,0.5550197545237178,0.04005300449533999
emcee_mean+ridge,2.019975456630097,0.19846593523974876,0.5622950191732174,0.0389480570148925
emcee_mode+ridge,2.0369744586006915,0.1998550110881585,0.5674878452216129,0.04573095300480899
emcee_mode,2.6276024625791132,0.7004953451410943,0.7437055696012981,0.2496358928260193
emcee_posterior_mean,2.813415519104463,0.8965596577846183,0.779571253958286,0.2294261963780889
emcee_median,3.1301098566648977,2.5836939740778453,0.863286994224908,0.6710338113155792
emcee_mean,9.207032720976077,9.24792185358662,2.535472815979921,2.3668124396196126
ridge,1.951819839264839,0.23494477679783143,0.5415193972818768,0.029116740705217834
pca+ridge,1.9629747156438442,0.23404409412542362,0.5446716455685475,0.029211502998984305
lasso,1.9751359969279612,0.19935783645618282,0.5490613805122277,0.026620887794210728
fpca+ridge,1.9755529362449296,0.2268842495136797,0.5482498832914966,0.026251657066739587
flin,1.978266478339555,0.2102316877452302,0.5505132555675365,0.03975832699166504
manual+ridge,1.987146185491421,0.22664684698460172,0.5519308645805515,0.03279656250701516
fpls1,1.9929033684739814,0.22274111592679033,0.5544998494834964,0.042060140153105725
pls+ridge,2.011613319006335,0.21799227751758768,0.5586506759299336,0.026035810196916757
rmh+ridge,2.030521606495727,0.2156384685669571,0.5645156283609618,0.0340480761327462
pls1,2.0447173004026142,0.1896844433767037,0.5689815008538538,0.03151068843083653
apls,2.0504055310218194,0.23828115943815587,0.5688896085440356,0.0244221668039354
