Estimator,Mean RMSE,SD RMSE,Mean rRMSE,SD rRMSE
emcee_posterior_mean,2.917706809562095,0.22186738043907867,0.29668277597970943,0.023850562805069687
emcee_mode,3.531215284164209,1.4939824550547487,0.3594962491644911,0.15684270221935875
emcee_median,3.713917426602437,0.9220900332061003,0.37816937253103833,0.09966825790992416
emcee_median+ridge,5.393113913749433,1.2095890064978398,0.543111878184212,0.09241856660459781
emcee_mode+ridge,5.441820995268973,0.5634138293216139,0.5517509551951819,0.04124943890444032
emcee_mean+ridge,6.6730506874331805,1.036864759827609,0.6776480491463301,0.10188987009766409
emcee_mean,9.810542126761495,7.445768575697474,0.9847976391664812,0.7047947837702647
apls,2.349359414872799,0.46976792891469593,0.23797972351940683,0.043161923269238026
pls+ridge,2.4154982883250087,0.5011785515777768,0.24430991105556008,0.04342803558411839
flin,2.6042429940409244,0.3437229123799513,0.264131944254275,0.029527246884541697
fpls1,2.60438591917436,0.29433047878537666,0.26452331059822604,0.02769707772560716
pls1,2.7038482524633642,0.4666090922018461,0.2740809529262772,0.0431095532752829
lasso,2.8921149056470314,0.2698127890802481,0.2937450129483231,0.024973233922433266
ridge,3.3870376734357976,0.21754887887976962,0.3440692056896456,0.018203130518903005
pca+ridge,3.3882989878159564,0.21787609172923417,0.3441935656376273,0.018168293843000418
manual+ridge,4.125775174994487,0.30510951281102827,0.41879806572034556,0.021030569239233604
rmh+ridge,5.579917439976446,0.5128765877080826,0.5655476491648855,0.029202043672057403
fpca+ridge,9.520945019831597,0.6027626424003749,0.9659323399110807,0.011845399668428246
