Estimator,Mean Acc,SD,Main strategy
emcee+ridge,0.9535714285714286,0.039285714285714264,mode
emcee,0.8821428571428571,0.12980558460990177,posterior_mean
pca+logistic,0.9642857142857144,0.03194382824999698,
fpca+logistic,0.9642857142857144,0.03194382824999698,
manual_sel+logistic,0.9607142857142857,0.033692789757345,
lda_pls1,0.9464285714285714,0.028793777672494806,
lda_fpca+ridge,0.9464285714285714,0.03659625273557,
rmh+logistic,0.9464285714285714,0.04587583063808975,
lda_pls+ridge,0.9464285714285714,0.028793777672494806,
lda_manual+ridge,0.9464285714285714,0.03659625273557,
pls+logistic,0.9428571428571428,0.04285714285714286,
flda_fpls1_basis,0.9428571428571428,0.03976974544878588,
lda_pca+ridge,0.9428571428571428,0.03976974544878588,
pls+svm_lin,0.9392857142857143,0.03589241293257462,
fpca+svm_lin,0.9392857142857143,0.04531634835874831,
pca+svm_lin,0.9357142857142857,0.05714285714285716,
rkvs+logistic,0.9357142857142856,0.03499271061118824,
flda_apls,0.9321428571428572,0.03728680896039483,
fknn,0.9321428571428572,0.056356192278783926,
lda_lasso,0.9321428571428572,0.043594841484763225,
manual_sel+svm_lin,0.9321428571428572,0.046428571428571444,
rkvs+svm_lin,0.9285714285714286,0.04517539514526258,
flda_l2_basis,0.9285714285714285,0.05758755534498964,
rmh+svm_lin,0.925,0.05404552125150558,
lda_rmh+ridge,0.9107142857142858,0.0581386449860704,
fnc,0.7250000000000001,0.12479575149754392,
mdc,0.6714285714285715,0.08718968296952645,
