Estimator,Mean Acc,SD,Main strategy
emcee+sk_ridge,0.9451612903225806,0.038304329313025555,mean
emcee,0.8838709677419354,0.05241315099765135,posterior_mean
fpca+sk_logistic,0.964516129032258,0.03043219720018261,
pls+sk_svm_rbf,0.9612903225806452,0.028121928668004365,
manual_sel+sk_logistic,0.9580645161290322,0.032418953616519024,
pca+sk_logistic,0.9580645161290322,0.02903225806451615,
rmh+sk_logistic,0.9483870967741936,0.04375696763306625,
pls+sk_logistic,0.9451612903225808,0.03548387096774195,
sk_lda_pca+ridge,0.9451612903225808,0.03241895361651902,
sk_flda_apls,0.9451612903225808,0.029032258064516144,
sk_lda_pls1,0.9451612903225806,0.03241895361651901,
pls+sk_svm_lin,0.9451612903225806,0.03241895361651901,
sk_lda_pls+ridge,0.9451612903225806,0.03241895361651901,
pca+sk_svm_rbf,0.9451612903225806,0.04093089529177266,
rmh+sk_svm_rbf,0.9451612903225806,0.043398787248624886,
sk_flda_fpls1_basis,0.9451612903225806,0.03548387096774195,
fpca+sk_svm_rbf,0.9451612903225806,0.04093089529177266,
fpca+sk_svm_lin,0.9451612903225806,0.043398787248624886,
manual_sel+sk_svm_lin,0.9419354838709678,0.03474299875570649,
manual_sel+sk_svm_rbf,0.9419354838709678,0.03761904448287292,
sk_lda_lasso,0.9419354838709678,0.03761904448287292,
sk_lda_fpca+ridge,0.9419354838709678,0.03761904448287292,
sk_lda_manual+ridge,0.9419354838709678,0.03761904448287292,
pca+sk_svm_lin,0.9387096774193548,0.03937598585720551,
rkvs+sk_logistic,0.9387096774193548,0.044347506725379106,
sk_fknn,0.9387096774193548,0.0443475067253791,
rmh+sk_svm_lin,0.935483870967742,0.04327873504838304,
sk_lda_rmh+ridge,0.9290322580645162,0.042795158585230975,
rkvs+sk_svm_rbf,0.9258064516129032,0.04339878724862487,
rkvs+sk_svm_lin,0.9225806451612903,0.050388707586494545,
sk_flda_l2_basis,0.9129032258064516,0.04573369960889623,
sk_fnc,0.735483870967742,0.11155881590832635,
sk_mdc,0.7000000000000001,0.09129659160054776,
