Estimator,Mean Acc,SD,Main strategy
emcee+sk_ridge,0.598,0.06477653896280659,mode
emcee,0.586,0.05660388679233964,posterior_mean
rmh+sk_logistic,0.642,0.05249761899362674,
rmh+sk_svm_lin,0.638,0.05015974481593781,
manual_sel+sk_svm_rbf,0.6180000000000001,0.05617828762075257,
fpca+sk_svm_rbf,0.616,0.03666060555964672,
fpca+sk_logistic,0.616,0.054258639865002144,
pca+sk_logistic,0.612,0.05075431016179807,
pca+sk_svm_rbf,0.6100000000000001,0.05310367218940702,
sk_fknn,0.6020000000000001,0.05015974481593783,
rkvs+sk_logistic,0.602,0.04770744176750625,
manual_sel+sk_logistic,0.5980000000000001,0.06225752966509352,
rkvs+sk_svm_rbf,0.5960000000000001,0.047159304490206375,
fpca+sk_svm_lin,0.584,0.06437390775772434,
rmh+sk_svm_rbf,0.584,0.04543126676640219,
rkvs+sk_svm_lin,0.5839999999999999,0.09024411338142783,
pls+sk_svm_rbf,0.5820000000000001,0.08459314393022639,
pls+sk_logistic,0.576,0.068585712797929,
sk_lda_rmh+ridge,0.5720000000000001,0.05600000000000001,
sk_lda_fpca+ridge,0.572,0.05075431016179807,
manual_sel+sk_svm_lin,0.5700000000000001,0.054589376255824704,
sk_fnc,0.5680000000000001,0.04308131845707602,
sk_lda_pca+ridge,0.5660000000000001,0.04565084884205331,
sk_mdc,0.554,0.047370877129308035,
sk_lda_pls+ridge,0.548,0.046647615158762396,
sk_lda_lasso,0.5459999999999999,0.04983974317750845,
sk_flda_l2_basis,0.544,0.044542114902640165,
sk_lda_pls1,0.538,0.05473572873361603,
sk_lda_manual+ridge,0.5360000000000001,0.04963869458396344,
pls+sk_svm_lin,0.534,0.07378346698278687,
sk_flda_apls,0.53,0.05531726674375732,
pca+sk_svm_lin,0.522,0.08316249154516714,
sk_flda_fpls1_basis,0.522,0.05473572873361603,
