Estimator,Mean Acc,SD,Main strategy
emcee+sk_ridge,0.614,0.04820788317277581,median
emcee,0.55,0.08449852069711042,posterior_mean
rmh+sk_logistic,0.644,0.04963869458396344,
rmh+sk_svm_lin,0.64,0.0447213595499958,
manual_sel+sk_svm_rbf,0.64,0.04979959839195491,
pca+sk_svm_rbf,0.628,0.06462197768561405,
fpca+sk_svm_rbf,0.618,0.03736308338453881,
pca+sk_logistic,0.6140000000000001,0.0482078831727758,
fpca+sk_logistic,0.612,0.05670978751503129,
rkvs+sk_svm_lin,0.5980000000000001,0.06477653896280657,
rkvs+sk_logistic,0.5960000000000001,0.04799999999999998,
manual_sel+sk_logistic,0.596,0.06740919818541087,
pls+sk_logistic,0.5940000000000001,0.0544426303552648,
sk_fknn,0.5900000000000001,0.03924283374069717,
fpca+sk_svm_lin,0.584,0.06437390775772434,
rkvs+sk_svm_rbf,0.584,0.08522910301065008,
sk_fnc,0.5680000000000001,0.04308131845707602,
rmh+sk_svm_rbf,0.5660000000000001,0.05063595560468865,
sk_lda_rmh+ridge,0.5660000000000001,0.04903060268852505,
sk_flda_apls,0.5639999999999998,0.0656048778674269,
sk_lda_fpca+ridge,0.562,0.054,
sk_lda_pca+ridge,0.56,0.04732863826479693,
manual_sel+sk_svm_lin,0.556,0.06374950980203689,
sk_lda_pls+ridge,0.554,0.05141984052872976,
sk_lda_lasso,0.55,0.0705691150575094,
pls+sk_svm_rbf,0.548,0.07054076835419358,
sk_mdc,0.548,0.040199502484483556,
sk_lda_manual+ridge,0.544,0.047999999999999994,
sk_flda_l2_basis,0.544,0.044542114902640165,
pls+sk_svm_lin,0.54,0.06572670690061992,
sk_flda_fpls1_basis,0.5399999999999999,0.04560701700396552,
sk_lda_pls1,0.536,0.036660605559646724,
pca+sk_svm_lin,0.5299999999999999,0.09476286192385709,
