Estimator,Mean Acc,SD,Main strategy
emcee+ridge,0.6216666666666667,0.019790570145063167,mean
emcee,0.6016666666666668,0.03833333333333332,mean
rmh+logistic,0.6333333333333332,1.1102230246251565e-16,
pls+logistic,0.6266666666666666,0.01333333333333333,
rmh+svm_lin,0.625,0.013437096247164243,
pca+logistic,0.625,0.013437096247164243,
rkvs+logistic,0.6233333333333334,0.013333333333333324,
fpca+logistic,0.6233333333333333,0.01699673171197593,
manual_sel+logistic,0.6166666666666666,0.036514837167011045,
pca+svm_lin,0.6083333333333332,0.03670452590924206,
fpca+svm_lin,0.6066666666666667,0.040960685758148346,
rkvs+svm_lin,0.6016666666666666,0.04179978734661483,
manual_sel+svm_lin,0.59,0.0448454134902457,
lda_rmh+ridge,0.5866666666666667,0.04760952285695233,
lda_lasso,0.58,0.10666666666666667,
fknn,0.5716666666666667,0.061486222485655724,
pls+svm_lin,0.5716666666666667,0.0428498671072748,
lda_manual+ridge,0.5366666666666667,0.08589399151150083,
mdc,0.5183333333333333,0.0824789535443908,
lda_pls+ridge,0.505,0.06668749674580851,
flda_fpls1_basis,0.5016666666666667,0.03975620147292188,
lda_fpca+ridge,0.4916666666666666,0.06247221604663769,
lda_pls1,0.4916666666666666,0.06157651067303721,
fnc,0.48166666666666663,0.03833333333333333,
lda_pca+ridge,0.475,0.05833333333333332,
flda_l2_basis,0.4716666666666667,0.03947573094109003,
flda_apls,0.4633333333333334,0.059535236998305846,
