Estimator,Mean Acc,SD,Main strategy
emcee+ridge,0.6166666666666666,0.036514837167011045,mean
emcee,0.5866666666666667,0.033993463423951896,median
rmh+logistic,0.6316666666666666,0.004999999999999982,
rmh+svm_lin,0.6300000000000001,0.009999999999999988,
pca+logistic,0.625,0.013437096247164243,
rkvs+logistic,0.6233333333333334,0.013333333333333324,
fpca+logistic,0.6233333333333333,0.01699673171197593,
manual_sel+logistic,0.6216666666666667,0.018333333333333316,
pls+logistic,0.6166666666666666,0.04013864859597431,
fpca+svm_lin,0.61,0.04163331998932265,
pca+svm_lin,0.6049999999999999,0.04412734098291241,
rkvs+svm_lin,0.5966666666666667,0.04268749491621899,
lda_lasso,0.58,0.10666666666666667,
pls+svm_lin,0.58,0.06574360974438673,
manual_sel+svm_lin,0.5783333333333334,0.05775907817054485,
fknn,0.5683333333333334,0.06030017505041848,
mdc,0.5183333333333333,0.08674675786448735,
lda_pls+ridge,0.505,0.06584915421712803,
lda_manual+ridge,0.4966666666666667,0.04702245326555296,
lda_rmh+ridge,0.49333333333333335,0.07386173268720113,
lda_pls1,0.48999999999999994,0.07272474743090476,
lda_fpca+ridge,0.485,0.06256108126374485,
fnc,0.4833333333333333,0.03651483716701108,
flda_fpls1_basis,0.4766666666666667,0.06064468466220085,
lda_pca+ridge,0.47333333333333333,0.058309518948452994,
flda_l2_basis,0.4683333333333334,0.035316033500695156,
flda_apls,0.465,0.049131343243278926,
