Estimator,Mean Acc,SD,Main strategy
emcee+sk_ridge,0.6379999999999999,0.07291090453423274,median
emcee,0.5960000000000001,0.07578918128598566,posterior_mean
sk_lda_rmh+ridge,0.6779999999999999,0.05546169849544817,
rmh+sk_logistic,0.6679999999999999,0.06584831053261729,
rmh+sk_svm_rbf,0.666,0.06069596362197406,
rmh+sk_svm_lin,0.6539999999999999,0.07158212067269311,
rkvs+sk_logistic,0.64,0.06511528238439883,
manual_sel+sk_logistic,0.6300000000000001,0.046690470119715034,
sk_lda_pca+ridge,0.6300000000000001,0.07758865896508328,
pca+sk_logistic,0.63,0.05310367218940702,
sk_flda_fpls1_basis,0.63,0.06340346993658942,
pls+sk_logistic,0.626,0.05517245689653488,
sk_lda_fpca+ridge,0.626,0.06755738301621812,
fpca+sk_logistic,0.624,0.05043808085167397,
fpca+sk_svm_lin,0.62,0.054405882034941774,
rkvs+sk_svm_lin,0.6199999999999999,0.06449806198638838,
sk_flda_apls,0.6180000000000001,0.06477653896280657,
sk_lda_lasso,0.618,0.0532541078227774,
sk_lda_pls+ridge,0.618,0.0701141925718324,
sk_fnc,0.616,0.0662117814289874,
sk_lda_manual+ridge,0.612,0.05599999999999999,
pls+sk_svm_rbf,0.606,0.0651459898996093,
rkvs+sk_svm_rbf,0.604,0.06437390775772431,
pls+sk_svm_lin,0.6020000000000001,0.06954135460285484,
manual_sel+sk_svm_lin,0.602,0.08874683092933516,
sk_flda_l2_basis,0.6,0.059329587896765304,
sk_lda_pls1,0.5980000000000001,0.058957611891934686,
sk_mdc,0.5940000000000001,0.03903844259188627,
sk_fknn,0.5900000000000001,0.05744562646538028,
pca+sk_svm_lin,0.568,0.09846826900072937,
manual_sel+sk_svm_rbf,0.5640000000000001,0.03199999999999998,
fpca+sk_svm_rbf,0.5640000000000001,0.04363484845854285,
pca+sk_svm_rbf,0.556,0.041761226035642196,
