Estimator,Mean Acc,SD,Main strategy
emcee,0.648,0.05075431016179808,mode
emcee+sk_ridge,0.6279999999999999,0.08352245207128439,mean
sk_lda_rmh+ridge,0.6779999999999999,0.05546169849544817,
rmh+sk_logistic,0.6679999999999999,0.06584831053261729,
rmh+sk_svm_rbf,0.6679999999999999,0.059464274989274014,
rmh+sk_svm_lin,0.6599999999999999,0.07589466384404109,
rkvs+sk_logistic,0.644,0.07310266752998826,
manual_sel+sk_logistic,0.6300000000000001,0.046690470119715034,
sk_lda_pca+ridge,0.6300000000000001,0.07758865896508328,
pca+sk_logistic,0.63,0.05310367218940702,
sk_flda_fpls1_basis,0.63,0.06340346993658942,
pls+sk_logistic,0.626,0.05517245689653488,
sk_lda_fpca+ridge,0.626,0.06755738301621812,
fpca+sk_logistic,0.624,0.05043808085167397,
fpca+sk_svm_lin,0.62,0.054405882034941774,
sk_lda_lasso,0.618,0.0532541078227774,
sk_fnc,0.616,0.0662117814289874,
rkvs+sk_svm_lin,0.616,0.05919459434779496,
sk_lda_pls+ridge,0.612,0.06273754856543247,
sk_lda_manual+ridge,0.6100000000000001,0.04919349550499538,
sk_flda_apls,0.6060000000000001,0.0669626761711328,
pls+sk_svm_rbf,0.606,0.0651459898996093,
sk_flda_l2_basis,0.6,0.059329587896765304,
sk_lda_pls1,0.5980000000000001,0.058957611891934686,
manual_sel+sk_svm_lin,0.594,0.078,
sk_mdc,0.592,0.04214261501141096,
rkvs+sk_svm_rbf,0.592,0.07652450587883596,
sk_fknn,0.5900000000000001,0.05744562646538028,
pca+sk_svm_lin,0.568,0.09846826900072937,
fpca+sk_svm_rbf,0.5640000000000001,0.04363484845854285,
pca+sk_svm_rbf,0.556,0.041761226035642196,
manual_sel+sk_svm_rbf,0.554,0.02835489375751564,
pls+sk_svm_lin,0.544,0.11859173664298878,
