Estimator,Mean Acc,SD,Main strategy
emcee+ridge,0.625,0.03670452590924205,mean
emcee,0.6183333333333334,0.05600099205470479,mean
rmh+logistic,0.645,0.03876567783204335,
rmh+svm_lin,0.6433333333333333,0.030000000000000006,
fpca+svm_lin,0.6416666666666667,0.030956959368344503,
fpca+logistic,0.6416666666666667,0.04609772228646442,
pls+logistic,0.6383333333333334,0.035784850922639805,
pca+logistic,0.6383333333333334,0.04475240527365849,
rkvs+svm_lin,0.6366666666666667,0.03399346342395188,
manual_sel+logistic,0.6316666666666667,0.03833333333333333,
rkvs+logistic,0.6300000000000001,0.047609522856952316,
fnc,0.6266666666666667,0.04841946348777982,
lda_manual+ridge,0.6250000000000001,0.06335525936249403,
lda_pca+ridge,0.6166666666666666,0.06454972243679029,
lda_fpca+ridge,0.6133333333333335,0.06944222218666553,
pca+svm_lin,0.6133333333333334,0.05099019513592784,
flda_fpls1_basis,0.6100000000000001,0.06064468466220084,
flda_apls,0.6066666666666667,0.06674994798166928,
flda_l2_basis,0.6016666666666668,0.07726217990999505,
manual_sel+svm_lin,0.6016666666666667,0.0697017455544216,
lda_lasso,0.6000000000000002,0.0421637021355784,
lda_pls+ridge,0.6,0.05109903238918631,
lda_pls1,0.5983333333333333,0.05294126724756197,
fknn,0.595,0.05002777006601211,
mdc,0.5866666666666667,0.05811865258054231,
pls+svm_lin,0.5733333333333334,0.07644896627453142,
lda_rmh+ridge,0.5633333333333332,0.051532082779134354,
