Estimator,Mean Acc,SD,Main strategy
emcee+ridge,0.6216666666666667,0.021147629234082536,mode
emcee,0.6016666666666668,0.04245913067618999,posterior_mean
rmh+logistic,0.645,0.03876567783204335,
fpca+logistic,0.6416666666666667,0.04609772228646442,
fpca+svm_lin,0.6416666666666667,0.030956959368344503,
rmh+svm_lin,0.6383333333333334,0.039475730941090026,
rkvs+svm_lin,0.6383333333333334,0.034999999999999976,
pca+logistic,0.6383333333333334,0.04475240527365849,
pls+logistic,0.635,0.03609401304617953,
manual_sel+logistic,0.6316666666666667,0.04561310727801335,
rkvs+logistic,0.6283333333333333,0.051666666666666666,
fnc,0.6266666666666667,0.04841946348777982,
lda_manual+ridge,0.6233333333333334,0.062449979983983966,
lda_pca+ridge,0.6166666666666666,0.06454972243679029,
flda_apls,0.6166666666666666,0.06582805886043833,
lda_fpca+ridge,0.6133333333333335,0.06944222218666553,
pca+svm_lin,0.6133333333333334,0.05099019513592784,
pls+svm_lin,0.6116666666666666,0.050579969684978375,
flda_fpls1_basis,0.6100000000000001,0.06064468466220084,
lda_pls+ridge,0.6066666666666667,0.058783973628494655,
lda_pls1,0.6016666666666666,0.05698440332426252,
lda_lasso,0.6000000000000002,0.0421637021355784,
manual_sel+svm_lin,0.6000000000000001,0.06831300510639732,
fknn,0.595,0.047755162606314676,
flda_l2_basis,0.5933333333333334,0.08137703743822468,
mdc,0.5833333333333333,0.05322906474223771,
lda_rmh+ridge,0.5616666666666668,0.052730973398521244,
