Estimator,Mean Acc,SD,Main strategy
emcee,0.5950310559006212,0.035113773975410115,mode
emcee+ridge,0.5894409937888201,0.023643312187173023,mode
rkvs+svm_lin,0.5925465838509316,0.021372236688304666,
rmh+logistic,0.5925465838509316,0.03645068509595332,
rkvs+logistic,0.5894409937888199,0.031358771581029406,
lda_lasso,0.5863354037267081,0.032058355032457,
manual_sel+logistic,0.5832298136645961,0.032088425721961474,
rmh+svm_lin,0.5763975155279504,0.06308553503401054,
lda_rmh+ridge,0.5720496894409937,0.034071026464353976,
pls+logistic,0.5695652173913043,0.014711452524629826,
manual_sel+svm_lin,0.5658385093167702,0.03572913544911717,
lda_manual+ridge,0.5627329192546584,0.03449302702339087,
flda_l2_basis,0.5608695652173912,0.042495549026328766,
flda_apls,0.5583850931677018,0.024127856645409975,
pls+svm_lin,0.5559006211180124,0.03206437142643555,
flda_fpls1_basis,0.5540372670807452,0.04201623484543544,
fnc,0.5527950310559007,0.03568051333253436,
lda_pls1,0.5521739130434783,0.02281287909590925,
lda_pls+ridge,0.5459627329192547,0.025826860728312778,
pca+logistic,0.5385093167701863,0.030052100381125324,
fpca+logistic,0.537888198757764,0.03157332925997227,
pca+svm_lin,0.5360248447204969,0.04285714285714286,
fknn,0.531055900621118,0.02863212564376674,
fpca+svm_lin,0.5260869565217392,0.04240466879179697,
lda_pca+ridge,0.5248447204968946,0.029429460224800332,
lda_fpca+ridge,0.5229813664596273,0.030275919520382465,
mdc,0.515527950310559,0.025306271785668785,
