Estimator,Mean Acc,SD
emcee_mode+logistic,0.5589887640449439,0.04029699739422316
emcee_posterior_mean,0.5567415730337079,0.018876738894844314
emcee_posterior_vote,0.552247191011236,0.03463609582426597
emcee_mean+logistic,0.5247191011235955,0.018834892824989
emcee_median+logistic,0.5235955056179776,0.024462405682109275
emcee_mean,0.5168539325842697,0.027750761876917905
emcee_mode,0.5134831460674156,0.04106891434269004
emcee_median,0.5011235955056179,0.046517396729178546
rmh+log,0.6056179775280899,0.02459108834633628
flog,0.6011235955056179,0.02940730860292674
rkvs+log,0.5955056179775281,0.03246782758831437
manual+log,0.5837078651685393,0.017667623812939775
pls+log,0.5775280898876404,0.018256266077833618
pca+log,0.5764044943820223,0.029535818939539122
log,0.5747191011235955,0.027642504719421427
lda,0.5719101123595506,0.019265649662339606
apls+log,0.5696629213483146,0.018325288123932682
pls+nc,0.5696629213483145,0.04029308107200248
qda,0.5691011235955056,0.022758010225313575
pca+qda,0.5674157303370787,0.03588476274757599
flda,0.5606741573033708,0.019910163086145335
apls+nc,0.5550561797752809,0.021729302927880587
fpca+log,0.5466292134831461,0.03305071029232073
fnc,0.546067415730337,0.03750184105231154
fknn,0.5342696629213484,0.03071446501761044
mdc,0.5235955056179775,0.02620652537009124
