Estimator,Mean Acc,SD,Main strategy
emcee,0.5826086956521739,0.03745295262529525,mode
emcee+ridge,0.5745341614906831,0.04764829419629979,mode
manual_sel+logistic,0.5819875776397515,0.04330488947466672,
rkvs+logistic,0.5807453416149068,0.036981305954296134,
fpca+logistic,0.5807453416149068,0.03821264202552054,
manual_sel+svm_lin,0.575776397515528,0.05886219758111123,
rkvs+svm_lin,0.5745341614906831,0.05646710894815878,
pls+logistic,0.5745341614906831,0.03729295168267843,
pca+logistic,0.5739130434782608,0.04472049689440993,
lda_pls1,0.5701863354037267,0.03765840097198538,
lda_lasso,0.5670807453416149,0.04016189605050238,
fpca+svm_lin,0.5664596273291925,0.04562575819181852,
lda_pls+ridge,0.5664596273291924,0.03703863730652315,
flda_apls,0.5658385093167702,0.033729624800957675,
rmh+logistic,0.5645962732919255,0.03637121980610523,
lda_pca+ridge,0.5639751552795031,0.0372463710573042,
pls+svm_lin,0.5633540372670808,0.04969332282973817,
flda_fpls1_basis,0.5583850931677018,0.024445551123173197,
lda_manual+ridge,0.5540372670807454,0.032960246363780366,
lda_fpca+ridge,0.5527950310559006,0.03154888223403799,
pca+svm_lin,0.5521739130434783,0.052663335928525394,
lda_rmh+ridge,0.5503105590062111,0.022600503600820183,
fnc,0.5478260869565218,0.03248868777794292,
flda_l2_basis,0.5453416149068323,0.03776070597160413,
rmh+svm_lin,0.5366459627329192,0.04812762888897022,
mdc,0.5211180124223602,0.026563235751979004,
fknn,0.5211180124223602,0.031603861448965355,
