Estimator,Mean Acc,SD,Main strategy
emcee+sk_ridge,0.5689265536723165,0.03653144217023098,mode
emcee,0.5587570621468927,0.02896823444812264,posterior_vote
rkvs+sk_logistic,0.5870056497175141,0.03365733561267001,
rkvs+sk_svm_lin,0.5836158192090395,0.0419793400864631,
manual_sel+sk_svm_rbf,0.5796610169491526,0.018941304648858993,
pls+sk_svm_lin,0.57909604519774,0.021476359105930175,
rkvs+sk_svm_rbf,0.5768361581920903,0.026433192237942577,
pls+sk_svm_rbf,0.5751412429378531,0.022285969404876867,
pls+sk_logistic,0.5751412429378531,0.033879467458903835,
pca+sk_logistic,0.5745762711864406,0.03492329821587705,
manual_sel+sk_logistic,0.5734463276836158,0.03420296241280296,
sk_lda_pca+ridge,0.5706214689265537,0.03313644813246368,
sk_lda_pls+ridge,0.5706214689265536,0.02410251865277011,
fpca+sk_logistic,0.5700564971751413,0.028857836811575433,
manual_sel+sk_svm_lin,0.5683615819209039,0.03382289163185484,
sk_lda_manual+ridge,0.5677966101694916,0.028835706565366874,
sk_lda_fpca+ridge,0.5661016949152543,0.03019296997940651,
sk_lda_pls1,0.5655367231638417,0.02194680745712432,
sk_flda_fpls1_basis,0.5649717514124293,0.02613566894061103,
sk_flda_l2_basis,0.5644067796610169,0.03394065151610303,
sk_lda_lasso,0.5644067796610169,0.02557394417572039,
sk_flda_apls,0.5627118644067798,0.02926968101014377,
rmh+sk_logistic,0.5627118644067797,0.036016672204540634,
rmh+sk_svm_lin,0.5610169491525424,0.030113577336127538,
fpca+sk_svm_lin,0.5610169491525423,0.04767571627071137,
rmh+sk_svm_rbf,0.5587570621468927,0.027614348948813424,
pca+sk_svm_rbf,0.5564971751412429,0.024267493327587045,
fpca+sk_svm_rbf,0.5519774011299435,0.02099537195035257,
sk_lda_rmh+ridge,0.5468926553672316,0.018873777501118703,
sk_fnc,0.5463276836158193,0.03125779930762271,
pca+sk_svm_lin,0.5401129943502825,0.04768575784408857,
sk_mdc,0.5288135593220339,0.03106830979631077,
sk_fknn,0.516949152542373,0.029383962991968014,
