Estimator,Mean Acc,SD,Main strategy
emcee+sk_ridge,0.728,0.05455272678794342,mode
emcee,0.718,0.044226688774991973,posterior_mean
pca+sk_svm_lin,0.768,0.05528109984434103,
sk_lda_fpca+ridge,0.764,0.062481997407253215,
sk_flda_fpls1_basis,0.764,0.04079215610874229,
fpca+sk_logistic,0.76,0.06572670690061994,
sk_lda_lasso,0.76,0.04816637831516919,
pca+sk_logistic,0.7580000000000001,0.06660330322138684,
sk_flda_apls,0.758,0.050159744815937796,
rkvs+sk_logistic,0.756,0.052763623833091675,
sk_lda_pca+ridge,0.754,0.0429418211071678,
manual_sel+sk_svm_lin,0.752,0.07277362159464101,
manual_sel+sk_svm_rbf,0.75,0.06016643582596526,
manual_sel+sk_logistic,0.748,0.06462197768561405,
fpca+sk_svm_lin,0.748,0.06273754856543251,
sk_lda_rmh+ridge,0.746,0.04476605857119879,
rkvs+sk_svm_lin,0.746,0.050635955604688636,
fpca+sk_svm_rbf,0.744,0.0417612260356422,
sk_lda_manual+ridge,0.742,0.05399999999999999,
pca+sk_svm_rbf,0.74,0.05585696017507578,
rmh+sk_logistic,0.74,0.04560701700396553,
rmh+sk_svm_lin,0.74,0.0529150262212918,
rmh+sk_svm_rbf,0.74,0.05059644256269406,
pls+sk_logistic,0.738,0.05546169849544817,
sk_fnc,0.734,0.05517245689653488,
pls+sk_svm_lin,0.73,0.05234500931320959,
sk_lda_pls+ridge,0.73,0.04999999999999998,
sk_lda_pls1,0.728,0.049152822909778016,
sk_fknn,0.716,0.03555277766926235,
pls+sk_svm_rbf,0.7140000000000001,0.05799999999999999,
rkvs+sk_svm_rbf,0.712,0.041182520563947986,
sk_flda_l2_basis,0.7,0.07745966692414834,
sk_mdc,0.7,0.05585696017507577,
