Estimator,Mean Acc,SD,Main strategy
emcee+ridge,0.7616666666666667,0.034197140881138656,median
emcee,0.7533333333333333,0.03636237371545241,posterior_mean
lda_fpca+ridge,0.7933333333333332,0.039581140290126396,
pls+svm_lin,0.79,0.035901098714230056,
lda_pca+ridge,0.7883333333333333,0.04349329450233298,
rmh+svm_lin,0.7849999999999999,0.041129875597510225,
lda_rmh+ridge,0.7849999999999999,0.041129875597510225,
fpca+logistic,0.7816666666666666,0.038333333333333344,
pls+logistic,0.7816666666666666,0.05398044913567217,
pca+svm_lin,0.7816666666666666,0.046815239683960466,
rmh+logistic,0.7816666666666666,0.037601713908928275,
fpca+svm_lin,0.7816666666666665,0.04561310727801337,
flda_fpls1_basis,0.78,0.04521553322083513,
flda_apls,0.7783333333333332,0.03876567783204337,
lda_pls+ridge,0.7766666666666666,0.04027681991198191,
rkvs+logistic,0.775,0.040994579587496145,
manual_sel+svm_lin,0.775,0.04787135538781691,
pca+logistic,0.7733333333333333,0.04294699575575041,
rkvs+svm_lin,0.7733333333333333,0.04096068575814837,
fnc,0.7716666666666667,0.04890466917040405,
manual_sel+logistic,0.7716666666666666,0.05918426968188235,
lda_pls1,0.77,0.06137317546507323,
lda_manual+ridge,0.7699999999999999,0.06137317546507324,
lda_lasso,0.7683333333333333,0.044378423185647844,
fknn,0.7566666666666666,0.03,
flda_l2_basis,0.7449999999999999,0.05871304984602847,
mdc,0.7216666666666667,0.048904669170404064,
