Estimator,Mean Acc,SD
emcee_mean+logistic,0.756,0.025377155080899064
emcee_median+logistic,0.7470000000000001,0.026476404589747475
emcee_posterior_mean,0.7349999999999999,0.033837848631377274
emcee_posterior_vote,0.7349999999999999,0.023345235059857524
emcee_mode+logistic,0.7310000000000001,0.03562302626111376
emcee_mode,0.73,0.0360555127546399
emcee_mean,0.718,0.03249615361854383
emcee_median,0.718,0.02481934729198172
flda,0.759,0.0323882694814033
pls+log,0.758,0.022271057451320107
pca+qda,0.758,0.02400000000000002
mdc,0.756,0.028705400188814675
fnc,0.7540000000000001,0.03136877428271627
pls+nc,0.7529999999999999,0.02100000000000002
log,0.751,0.023430749027719987
apls+nc,0.749,0.02385372088375315
rmh+log,0.7449999999999999,0.030083217912982678
manual+log,0.7449999999999999,0.025000000000000026
pca+log,0.744,0.03469870314579495
fpca+log,0.742,0.03815756805667783
flog,0.741,0.03505709628591622
rkvs+log,0.7409999999999999,0.03300000000000001
fknn,0.7389999999999999,0.018138357147217073
apls+log,0.7300000000000001,0.03768288736283354
lda,0.5670000000000001,0.024103941586387876
qda,0.54,0.0
