Estimator,Mean Acc,SD
emcee_median+logistic,0.7580000000000001,0.027856776554368263
emcee_posterior_mean,0.751,0.023853720883753145
emcee_mean+logistic,0.751,0.038065732621348575
emcee_posterior_vote,0.7489999999999999,0.027367864366808044
emcee_mode+logistic,0.7190000000000001,0.07892401408950256
emcee_median,0.6950000000000001,0.12298373876248843
emcee_mean,0.645,0.1729306219268294
emcee_mode,0.556,0.20737405816543206
flda,0.759,0.0323882694814033
pls+log,0.758,0.022271057451320107
pca+qda,0.758,0.02400000000000002
mdc,0.756,0.028705400188814675
fnc,0.7540000000000001,0.03136877428271627
pls+nc,0.7529999999999999,0.02100000000000002
log,0.751,0.023430749027719987
manual+log,0.7449999999999999,0.025000000000000026
rmh+log,0.7449999999999999,0.030083217912982678
pca+log,0.744,0.03469870314579495
apls+nc,0.7430000000000001,0.022825424421026672
fpca+log,0.742,0.03815756805667783
flog,0.741,0.03505709628591622
rkvs+log,0.7409999999999999,0.03300000000000001
fknn,0.7389999999999999,0.018138357147217073
apls+log,0.7300000000000001,0.03521363372331802
lda,0.5670000000000001,0.024103941586387876
qda,0.54,0.0
