Estimator,Mean Acc,SD,Main strategy
emcee,0.744,0.03666060555964671,mode
emcee+sk_ridge,0.736,0.04079215610874227,mode
pca+sk_svm_lin,0.768,0.04118252056394801,
sk_lda_pca+ridge,0.76,0.04289522117905444,
sk_flda_apls,0.754,0.042941821107167794,
rkvs+sk_svm_lin,0.7539999999999999,0.038000000000000034,
fpca+sk_logistic,0.752,0.041182520563948034,
sk_lda_fpca+ridge,0.752,0.055999999999999994,
pca+sk_logistic,0.748,0.044899888641287314,
sk_flda_fpls1_basis,0.748,0.031240998703626618,
sk_fnc,0.746,0.0438634243989226,
pls+sk_svm_rbf,0.746,0.05141984052872976,
sk_lda_pls1,0.7459999999999999,0.04103656905736639,
fpca+sk_svm_lin,0.744,0.050438080851673985,
manual_sel+sk_svm_lin,0.742,0.04935585071701227,
rkvs+sk_logistic,0.74,0.03898717737923587,
rmh+sk_logistic,0.74,0.03464101615137755,
sk_lda_pls+ridge,0.74,0.05291502622129182,
rkvs+sk_svm_rbf,0.738,0.05688585061331157,
rmh+sk_svm_rbf,0.738,0.03627671429443411,
pls+sk_logistic,0.738,0.04331281565541544,
pls+sk_svm_lin,0.7340000000000001,0.04565084884205332,
sk_flda_l2_basis,0.7340000000000001,0.03693237062523879,
sk_lda_manual+ridge,0.7340000000000001,0.055892754449928465,
rmh+sk_svm_lin,0.732,0.04214261501141097,
manual_sel+sk_logistic,0.73,0.046690470119715013,
sk_lda_rmh+ridge,0.726,0.034698703145794964,
sk_lda_lasso,0.714,0.04199999999999999,
manual_sel+sk_svm_rbf,0.714,0.03469870314579494,
pca+sk_svm_rbf,0.712,0.029933259094191523,
sk_mdc,0.696,0.04715930449020638,
fpca+sk_svm_rbf,0.6799999999999999,0.03794733192202054,
sk_fknn,0.668,0.03599999999999999,
