Estimator,Mean Acc,SD,Main strategy
emcee+ridge,0.7666666666666667,0.040138648595974324,mode
emcee,0.7466666666666667,0.07408703590297622,posterior_mean
rkvs+logistic,0.78,0.04136557881996954,
rmh+svm_lin,0.7766666666666666,0.039581140290126396,
lda_rmh+ridge,0.775,0.03354101966249686,
rmh+logistic,0.7733333333333333,0.03265986323710906,
lda_lasso,0.7666666666666667,0.026874192494328535,
flda_apls,0.765,0.04437842318564783,
lda_pls+ridge,0.76,0.03666666666666669,
pls+logistic,0.76,0.04546060565661954,
lda_pca+ridge,0.76,0.047258156262526115,
pca+svm_lin,0.7583333333333334,0.03435921354681385,
lda_fpca+ridge,0.7583333333333333,0.041666666666666706,
fpca+logistic,0.7566666666666666,0.05385164807134506,
lda_manual+ridge,0.7550000000000001,0.04833333333333336,
lda_pls1,0.7550000000000001,0.042849867107274835,
manual_sel+logistic,0.7533333333333333,0.04582575694955842,
rkvs+svm_lin,0.7483333333333333,0.07088723439378913,
mdc,0.7466666666666667,0.029627314724385314,
pca+logistic,0.7466666666666667,0.042031734043061666,
fpca+svm_lin,0.7416666666666667,0.03745367509040707,
pls+svm_lin,0.74,0.08171767114754176,
flda_l2_basis,0.74,0.04096068575814837,
flda_fpls1_basis,0.74,0.057348835113617526,
fnc,0.7366666666666666,0.02962731472438531,
manual_sel+svm_lin,0.7216666666666666,0.067515430335097,
fknn,0.6966666666666667,0.02962731472438529,
