Estimator,Mean Acc,SD,Main strategy
emcee,0.7516666666666667,0.0397562014729219,posterior_mean
emcee+ridge,0.7516666666666667,0.041799787346614846,mode
rkvs+logistic,0.78,0.04136557881996954,
rkvs+svm_lin,0.7766666666666666,0.044221663871405324,
rmh+logistic,0.7733333333333333,0.03590109871423004,
lda_rmh+ridge,0.7716666666666667,0.03419714088113868,
lda_lasso,0.7666666666666667,0.026874192494328535,
flda_apls,0.765,0.04437842318564783,
pls+logistic,0.7649999999999999,0.04500000000000001,
lda_pca+ridge,0.7633333333333334,0.047609522856952365,
rmh+svm_lin,0.7616666666666667,0.05166666666666667,
lda_pls+ridge,0.7616666666666667,0.035000000000000024,
lda_manual+ridge,0.76,0.037416573867739424,
pca+svm_lin,0.7583333333333334,0.03435921354681385,
lda_fpca+ridge,0.7583333333333333,0.041666666666666706,
fpca+logistic,0.7566666666666666,0.05385164807134506,
manual_sel+svm_lin,0.7566666666666666,0.05011098792790971,
lda_pls1,0.7516666666666667,0.04374801582802232,
manual_sel+logistic,0.7516666666666667,0.04798726682962658,
mdc,0.75,0.034960294939005064,
fpca+svm_lin,0.7483333333333333,0.03685557397915999,
pca+logistic,0.7466666666666667,0.042031734043061666,
pls+svm_lin,0.745,0.06282692274990255,
flda_fpls1_basis,0.74,0.057348835113617526,
flda_l2_basis,0.7383333333333333,0.039475730941090054,
fnc,0.7366666666666666,0.02962731472438531,
fknn,0.6966666666666667,0.02962731472438529,
