Estimator,Mean Acc,SD
emcee_mode+logistic,0.762,0.03572114219898352
emcee_median,0.76,0.035777087639996645
emcee_mode,0.76,0.03633180424916993
emcee_posterior_vote,0.759,0.038587562763149494
emcee_median+logistic,0.7550000000000001,0.03383784863137727
emcee_posterior_mean,0.754,0.03878143885933064
emcee_mean,0.752,0.024819347291981736
emcee_mean+logistic,0.7469999999999999,0.029000000000000026
pls+nc,0.7830000000000001,0.03377869150810907
mdc,0.77,0.04219004621945798
flda,0.768,0.03682390527904397
flog,0.7630000000000001,0.031320919526731675
fnc,0.7630000000000001,0.02451530134426255
apls+nc,0.761,0.03753664875824693
rkvs+log,0.7590000000000001,0.028792360097775964
fknn,0.756,0.04409081537009722
rmh+log,0.7520000000000001,0.034
pls+log,0.752,0.03400000000000003
fpca+log,0.7510000000000001,0.04060788100849392
log,0.7500000000000001,0.04000000000000001
manual+log,0.75,0.037148351242013426
pca+log,0.749,0.03300000000000003
lda,0.747,0.036891733491393436
apls+log,0.7460000000000001,0.035832945734337866
pca+qda,0.727,0.0283019433961698
qda,0.55,0.0
