Estimator,Mean Acc,SD
emcee_posterior_mean,0.7590000000000001,0.029816103031751175
emcee_median,0.759,0.04437341546466758
emcee_mode+logistic,0.758,0.03736308338453882
emcee_posterior_vote,0.756,0.026532998322843223
emcee_median+logistic,0.7470000000000001,0.04691481642295962
emcee_mean+logistic,0.7260000000000001,0.048620983124572886
emcee_mean,0.6769999999999999,0.07057619995437554
emcee_mode,0.665,0.11646887996370532
pls+nc,0.7830000000000001,0.03377869150810907
mdc,0.77,0.04219004621945798
flda,0.768,0.03682390527904397
flog,0.7630000000000001,0.031320919526731675
fnc,0.7630000000000001,0.02451530134426255
apls+nc,0.761,0.03753664875824693
rkvs+log,0.7590000000000001,0.03176476034853718
fknn,0.756,0.04409081537009722
rmh+log,0.7520000000000001,0.034
pls+log,0.752,0.03400000000000003
fpca+log,0.7510000000000001,0.04060788100849392
log,0.7500000000000001,0.04000000000000001
manual+log,0.75,0.037148351242013426
pca+log,0.749,0.03300000000000003
lda,0.747,0.036891733491393436
apls+log,0.7460000000000001,0.035832945734337866
pca+qda,0.727,0.0283019433961698
qda,0.55,0.0
