Estimator,Mean MSE,SD,Main strategy
emcee+sk_ridge,0.5461935661877682,0.083731990979445,mode
emcee,0.5514602160858316,0.1025356540895607,median
rmh+sk_ridge,0.5263467401691526,0.07360424822377652,
sk_lasso,0.5303810735010457,0.07506097812354072,
fpca+sk_svm_rbf,0.5395915552826923,0.055915816527251874,
rmh+sk_svm_rbf,0.5422486761135076,0.07455754387573073,
sk_apls,0.5478115131551143,0.0774081659678976,
fpca+sk_ridge,0.5490118700362758,0.07333082394904752,
pca+sk_ridge,0.5497872523188339,0.07371004724711062,
manual_sel+sk_ridge,0.5511513268528196,0.07169652549563726,
pls+sk_ridge,0.5514461834619286,0.07171283155604334,
sk_pls1,0.5600057606644651,0.07025761776748544,
sk_fpls1_basis,0.5619599619200016,0.08530517943288989,
manual_sel+sk_svm_rbf,0.5628957320196082,0.0766175257606924,
sk_flin_basis,0.5663092745637863,0.08641671824463834,
pca+sk_svm_rbf,0.590916761378247,0.053682822272373774,
pls+sk_svm_rbf,0.6014549838666309,0.03853197757440189,
sk_fknn,0.6326368843361615,0.08747309658873322,
