Estimator,Mean MSE,SD,Main strategy
emcee+sk_ridge,0.5378549108082502,0.07846758508972182,mode
emcee,0.5921488017189795,0.16920189235622174,mode
rmh+sk_ridge,0.5255184451430424,0.07211359920855036,
sk_lasso,0.5360039929532843,0.07371632560962779,
fpca+sk_svm_rbf,0.5395985615370428,0.0559959804898964,
rmh+sk_svm_rbf,0.5431714458836308,0.07543022801559525,
manual_sel+sk_ridge,0.5478551141695501,0.07225701309648372,
pls+sk_ridge,0.5479670665048377,0.07715040573477172,
sk_apls,0.5484739845907454,0.07568219991996995,
manual_sel+sk_svm_rbf,0.5493267366520087,0.06469233786704644,
pca+sk_ridge,0.5496886658564341,0.07363970280146093,
fpca+sk_ridge,0.5500354876778211,0.07412182332957873,
sk_pls1,0.554997338576086,0.08292222525425057,
sk_fpls1_basis,0.560432115511371,0.08419857086330959,
sk_flin_basis,0.5667927743661887,0.08700086205356115,
pca+sk_svm_rbf,0.5909406613744593,0.0534543875314141,
pls+sk_svm_rbf,0.6029656952717072,0.05425916515181,
sk_fknn,0.6318287598761951,0.08705545228934473,
