Estimator,Mean MSE,SD,Main strategy
emcee+sk_ridge,0.5527599678126612,0.08084149568425052,median
emcee,0.5545294902392823,0.10134202866579443,posterior_mean
manual_sel+sk_ridge,0.53781807446862,0.0772936649177929,
sk_pls1,0.5395339688760556,0.07374028043488741,
sk_lasso,0.5403911678126698,0.07929748288436077,
sk_apls,0.5429441145718633,0.07220704620937442,
fpca+sk_ridge,0.5473522901338546,0.07625662589263871,
pca+sk_ridge,0.5483372102421393,0.07644157649258612,
sk_fpls1_basis,0.5490315122822063,0.08492827813517757,
pls+sk_ridge,0.5496164838225215,0.07558885435480432,
fpca+sk_svm_rbf,0.5512626318975982,0.05281006238851216,
sk_flin_basis,0.5548268936864045,0.08527380216221335,
rmh+sk_ridge,0.599565432001769,0.08808661947319897,
manual_sel+sk_svm_rbf,0.6227311736516801,0.05991164345115022,
pls+sk_svm_rbf,0.6249571429361302,0.05641776257356809,
sk_fknn,0.6317007896277209,0.06237462557326728,
pca+sk_svm_rbf,0.6391380775681361,0.0596471323214432,
rmh+sk_svm_rbf,0.6558423815209599,0.08431574496429389,
