Estimator,Mean MSE,SD,Main strategy
emcee+sk_ridge,0.5337606771320729,0.08168821624208988,mode
emcee,0.553422301549684,0.08738571632365187,mode
sk_lasso,0.5273838315994152,0.07514807871477465,
manual_sel+sk_ridge,0.5412567769367718,0.07579369701646921,
sk_pls1,0.5465513381728682,0.07733956795848553,
fpca+sk_ridge,0.5475444555861441,0.0759625933162297,
fpca+sk_svm_rbf,0.5477000289833087,0.05586258388635532,
pca+sk_ridge,0.5489774033030063,0.07590021852982151,
pls+sk_ridge,0.5492889882075309,0.07361823535945355,
sk_apls,0.5503297532258433,0.07792165166076342,
sk_fpls1_basis,0.5537173192636795,0.081628238495041,
sk_flin_basis,0.5546324905392066,0.08494892825260365,
rmh+sk_ridge,0.5898594519843146,0.0813429172581653,
pls+sk_svm_rbf,0.6272234143831581,0.05872369354586649,
manual_sel+sk_svm_rbf,0.6273709583503422,0.059570684653845095,
sk_fknn,0.6411344773983727,0.06880467917360389,
pca+sk_svm_rbf,0.6414490555905694,0.05875750502097276,
rmh+sk_svm_rbf,0.689724291650717,0.15473653723603714,
