Estimator,Mean MSE,SD,Main strategy
emcee+sk_ridge,0.534775291048675,0.08125705695296294,mode
emcee,0.5445213655474149,0.07960457086638303,posterior_mean
sk_lasso,0.5328108776444337,0.0760403006246751,
sk_fpls1_basis,0.5422438899486967,0.06968983558653849,
manual_sel+sk_ridge,0.5434058352691992,0.07516751640022841,
pls+sk_ridge,0.5501023426226191,0.07823838277983595,
sk_apls,0.551407148468165,0.0727580169202754,
fpca+sk_ridge,0.5535928404627092,0.07686189653827512,
pca+sk_ridge,0.5546647972541016,0.07663750754999016,
sk_pls1,0.5553049200188556,0.07560938090019247,
sk_flin_basis,0.5553202012941414,0.08961787707061011,
fpca+sk_svm_rbf,0.5578337633553347,0.06655271015626803,
manual_sel+sk_svm_rbf,0.6257126862420639,0.05656098993911337,
pca+sk_svm_rbf,0.6430074306894247,0.049900568937842615,
pls+sk_svm_rbf,0.6466281282379234,0.06684479479980072,
sk_fknn,0.6555595858417256,0.08236594560528016,
rmh+sk_ridge,0.7251913704559234,0.12313362287132638,
rmh+sk_svm_rbf,0.803814745689086,0.15949060869233378,
