Estimator,Mean MSE,SD,Main strategy
emcee+sk_ridge,0.6016666405934923,0.09132048616092708,mode
emcee,0.6437852373150705,0.10300021640023321,posterior_mean
pls+sk_ridge,0.5888905763692125,0.08090647779223556,
fpca+sk_ridge,0.5965238954806555,0.08182599874156822,
manual_sel+sk_ridge,0.5967200045357737,0.08000130317288319,
pca+sk_ridge,0.5970094352233006,0.08147219124930523,
sk_lasso,0.6004546751551589,0.08715177818503468,
sk_flin_basis,0.6012071867524188,0.08483206796604725,
sk_pls1,0.6035776457385041,0.0769329925344398,
sk_fpls1_basis,0.605181413503254,0.0847986400786711,
sk_apls,0.6099959482022579,0.08679631496028532,
rmh+sk_ridge,0.6138175778650892,0.09032750836165836,
fpca+sk_svm_rbf,0.6263921210391992,0.09097988109850581,
sk_fknn,0.6433325646885465,0.11963820835162486,
pls+sk_svm_rbf,0.6470638489658966,0.10723779937334917,
rmh+sk_svm_rbf,0.6708123582845881,0.13435428417518994,
manual_sel+sk_svm_rbf,0.68943118406861,0.12399800935597396,
pca+sk_svm_rbf,0.6900727315466281,0.11348421653122946,
