Estimator,Mean MSE,SD,Main strategy
emcee+sk_ridge,0.5939551170840491,0.07450803746429034,mean
emcee,0.6060532590090075,0.08832980437444155,posterior_mean
manual_sel+sk_ridge,0.5929570728763667,0.08064994601418977,
pls+sk_ridge,0.5947305271503758,0.07548683461871532,
fpca+sk_ridge,0.5965520263701477,0.08182684192442952,
pca+sk_ridge,0.5966986540509135,0.08159913471048075,
sk_lasso,0.6003829009402477,0.0873566437389983,
sk_flin_basis,0.6012137327238771,0.08481723059087806,
sk_fpls1_basis,0.6071456052730143,0.08450955998679234,
sk_pls1,0.6079120457936203,0.07108871817813467,
sk_apls,0.6085938738651869,0.08742340840053141,
rmh+sk_ridge,0.6108855936735036,0.08490925629260386,
fpca+sk_svm_rbf,0.6264070708305087,0.09079843951021796,
sk_fknn,0.6426932685360736,0.11911320211341624,
rmh+sk_svm_rbf,0.6524289069925874,0.09790771430505857,
pls+sk_svm_rbf,0.6676480240105814,0.1012953084112637,
manual_sel+sk_svm_rbf,0.6712416413261264,0.0943246569963384,
pca+sk_svm_rbf,0.6904840000400578,0.11344813392043791,
