Estimator,Mean MSE,SD
emcee_posterior_mean,0.5284786375499577,0.05409157141413537
emcee_median,0.532836234406216,0.06570927847420543
emcee_median+ridge,0.5336958026624801,0.06545629566698614
emcee_mode+ridge,0.5352188988936357,0.06605483078470938
emcee_mean+ridge,0.539040623322139,0.06500970748418206
emcee_mode,0.5479218051595562,0.06512846331863203
emcee_mean,0.6798616367308016,0.29598371414669267
pls1,0.523324448503977,0.05857555178304548
pls+ridge,0.5236903855119849,0.06163020794809321
ridge,0.5242438714816099,0.059404369306286606
fpls1,0.5253357536001462,0.05963871821787427
pca+ridge,0.5259819630584517,0.06157811504747982
fpca+ridge,0.5261793100775208,0.06242932744984884
manual+ridge,0.5283558499890272,0.06371683971915068
rmh+ridge,0.5284984175017041,0.06042007318261025
lasso,0.5297855159989963,0.061363272353126434
flin,0.530842525653241,0.0626726519180541
apls,0.5324589591210788,0.06407150915513725
