Estimator,Mean MSE,SD
emcee_mean+ridge,0.5335755838231251,0.055205581803293984
emcee_posterior_mean,0.5362584019195977,0.0626630263248318
emcee_median+ridge,0.537477485919697,0.06834294226281777
emcee_mode+ridge,0.5408826663638275,0.070498563272578
emcee_mode,1.6583021642678062,0.7327080116673934
emcee_mean,1.7386771042108748,1.423122201507134
emcee_median,3.7739940107871304,7.0589984342461145
pls1,0.523324448503977,0.05857555178304548
pls+ridge,0.5236903855119849,0.06163020794809321
ridge,0.5242438714816099,0.059404369306286606
fpls1,0.5253357536001462,0.05963871821787427
pca+ridge,0.5259819630584517,0.06157811504747982
fpca+ridge,0.5261793100775208,0.06242932744984884
manual+ridge,0.5283558499890272,0.06371683971915068
rmh+ridge,0.5284984175017041,0.06042007318261025
lasso,0.5297855159989963,0.061363272353126434
flin,0.530842525653241,0.0626726519180541
apls,0.5324589591210788,0.06407150915513725
