Estimator,Mean MSE,SD,Main strategy
emcee+sk_ridge,0.605808158588208,0.08426746180414697,median
emcee,0.733371557494647,0.28420510996182546,posterior_mean
manual_sel+sk_ridge,0.5974576600804848,0.07929961463857088,
pls+sk_ridge,0.597586984761924,0.0810549931602041,
sk_apls,0.6010713417692489,0.08616171495521524,
sk_pls1,0.6014125995978643,0.08488928572553317,
fpca+sk_ridge,0.6023366856484285,0.08361517057492296,
pca+sk_ridge,0.6027586742339008,0.08359732376321168,
sk_fpls1_basis,0.6063432232992328,0.08321487862763552,
sk_flin_basis,0.6080849042507197,0.08325672242751743,
sk_lasso,0.6123519460729306,0.08256777230770682,
fpca+sk_svm_rbf,0.6813706803486982,0.09606936012276228,
rmh+sk_ridge,0.6895831479536799,0.08570553861828648,
sk_fknn,0.7040615799820342,0.07791769936592112,
pls+sk_svm_rbf,0.7277595659387752,0.11719682191215679,
manual_sel+sk_svm_rbf,0.7280668093010466,0.11035300130132907,
pca+sk_svm_rbf,0.7489670103778262,0.11001947531538243,
rmh+sk_svm_rbf,0.7721242245933218,0.1469501848802999,
