Estimator,Mean MSE,SD,Main strategy
emcee+sk_ridge,0.6080309241576595,0.08656375957325521,mean
emcee,0.7146829836089146,0.215375914576408,posterior_mean
pls+sk_ridge,0.5975938821879291,0.08107708597979518,
manual_sel+sk_ridge,0.5977863240957705,0.07920511335018804,
sk_apls,0.6010629625490591,0.08618236000649959,
sk_pls1,0.6014161670012197,0.08491061910205916,
fpca+sk_ridge,0.6023200488928733,0.08362225303751177,
pca+sk_ridge,0.6027635113576614,0.08360223956230245,
sk_fpls1_basis,0.6063367867216523,0.08321999172191248,
sk_flin_basis,0.608090472777762,0.08326528876194961,
sk_lasso,0.6122135463477492,0.0825024647666666,
fpca+sk_svm_rbf,0.6813258525516476,0.09608670134109963,
rmh+sk_ridge,0.6893776624824135,0.08571027880593364,
sk_fknn,0.7028021220748984,0.07531565749902093,
pls+sk_svm_rbf,0.7275687393003132,0.11736089710588196,
manual_sel+sk_svm_rbf,0.7283829621562538,0.10973602956220477,
pca+sk_svm_rbf,0.7489054501611522,0.10996011301736873,
rmh+sk_svm_rbf,0.7721620764876834,0.14715531603077014,
