Estimator,Mean MSE,SD,Main strategy
emcee+ridge,0.5339921963930174,0.0726998131709462,mean
emcee,0.6020576861745353,0.15895724347019388,posterior_mean
lasso,0.5329630150243254,0.07610581157325814,
fpls1_basis,0.5424163097388579,0.06966431376724827,
manual_sel+ridge,0.5433480459975296,0.07548677831029374,
pls+ridge,0.5501944076268901,0.07827451618642671,
apls,0.5514249952178195,0.07282185009980839,
fpca+ridge,0.5536404661169454,0.07691156192454257,
pca+ridge,0.5547915404730391,0.07666576503559966,
flin_basis,0.5553155453065136,0.08967714978087328,
pls1,0.5554393996920373,0.0756891215575386,
fknn,0.6535265203387219,0.08454508280817039,
rmh+ridge,0.7274712621526903,0.1244310719049048,
