Estimator,Mean MSE,SD
emcee_mean+ridge,0.5394360603246631,0.049635751200497416
emcee_median+ridge,0.544062967186029,0.05153736291530056
emcee_mean,0.552770126725271,0.05749373657332952
emcee_mode+ridge,0.5537492032926551,0.0580233758504542
emcee_median,0.5552666713754925,0.05122625819696874
emcee_mode,0.556228489790751,0.06463249164026413
emcee_posterior_mean,0.5598200640388689,0.08010694705170646
flin,0.526876529682736,0.060565017974809274
pls+ridge,0.5271816608881973,0.059820363206260975
pls1,0.5272054242176089,0.05984005491666205
pca+ridge,0.5272999342967155,0.05962615059828221
fpca+ridge,0.5274680526418958,0.05975678273119844
fpls1,0.528912404387684,0.06162176875281546
apls,0.5298234412145331,0.061498506408636654
manual+ridge,0.5323666598437691,0.06607982419696852
lasso,0.5347704228513438,0.06199189464188714
ridge,0.5352520785082923,0.06518768983265208
rmh+ridge,0.6700585679754081,0.07402981110965505
