Estimator,Mean MSE,SD
emcee_posterior_mean,0.5479230703124276,0.06537687864734514
emcee_median+ridge,0.5479631796426258,0.05823836826094239
emcee_mode+ridge,0.5705939630214247,0.07719583941307884
emcee_mean+ridge,0.5742336380463201,0.087225680347207
emcee_mean,0.6028017188957889,0.09126395730272684
emcee_median,0.7946765315157813,0.484149039767228
emcee_mode,4.207037085864754,10.921827685691289
flin,0.526876529682736,0.060565017974809274
pls+ridge,0.5271816608881973,0.059820363206260975
pls1,0.5272054242176089,0.05984005491666205
pca+ridge,0.5272999342967155,0.05962615059828221
fpca+ridge,0.5274680526418958,0.05975678273119844
fpls1,0.528912404387684,0.06162176875281546
apls,0.5298234412145331,0.061498506408636654
manual+ridge,0.5323666598437691,0.06607982419696852
lasso,0.5347704228513438,0.06199189464188714
ridge,0.5352520785082923,0.06518768983265208
rmh+ridge,0.6700585679754081,0.07402981110965505
